FIPS,year,multiplier
p29047,2010,0.774166358
p54083,2010,0.773654069
p05145,2010,0.972573741
p31131,2010,1.335187553
p19035,2010,0.826609535
p45035,2010,1.031303824
p20087,2010,1.198858027
p48063,2010,1.004226752
p47189,2010,0.920373829
p17023,2010,0.711676409
p21201,2010,0.85080526
p47095,2010,0.588060078
p45015,2010,1.031303824
p20139,2010,1.198858027
p56045,2010,0.373543116
p54049,2010,0.83319172
p38101,2010,1.013839578
p19071,2010,1.335187553
p22069,2010,1.415278839
p48021,2010,1.2714597
p40131,2010,0.657200953
p29019,2010,1.049704352
p20135,2010,0.932674107
p54011,2010,0.675948378
p45051,2010,0.982728979
p55077,2010,0.723917192
p31053,2010,1.170065134
p21199,2010,1.190359263
p35039,2010,0.945008831
p04017,2010,0.923591639
p17153,2010,1.071381317
p21037,2010,0.879482032
p28059,2010,1.293265832
p12003,2010,1.127886036
p35031,2010,1.024214993
p13223,2010,1.56585526
p39015,2010,0.981040033
p49001,2010,1.056764784
p17119,2010,0.985797425
p01129,2010,1.452893371
p33011,2010,1.171064094
p48029,2010,1.092831107
p08013,2010,0.58408586
p21035,2010,0.903663737
p40097,2010,0.657200953
p55015,2010,0.965898675
p22053,2010,1.473545375
p27137,2010,0.92633334
p22023,2010,1.473545375
p18051,2010,0.189048331
p27071,2010,0.92633334
p47143,2010,1.322193365
p55025,2010,0.723917192
p29189,2010,1.1729925
p27171,2010,1.34886752
p08037,2010,0.865678123
p12109,2010,1.127886036
p17183,2010,1.198691543
p45019,2010,0.982728979
p26139,2010,0.923231798
p17137,2010,0.843556401
p47147,2010,0.920373829
p12105,2010,0.847965773
p17013,2010,0.985797425
p29225,2010,1.588325951
p21137,2010,1.190359263
p18147,2010,0.801262673
p21157,2010,0.929153581
p01125,2010,0.72940925
p21221,2010,0.903663737
p31099,2010,1.023326745
p21135,2010,0.85080526
p21167,2010,1.292738578
p21103,2010,0.821797451
p17161,2010,0.647874853
p26081,2010,0.923231798
p21007,2010,0.929153581
p32031,2010,1.250238337
p29007,2010,1.049704352
p48287,2010,1.2714597
p19155,2010,0.770522841
p05069,2010,1.02311861
p05079,2010,1.02311861
p19149,2010,0.826609535
p33015,2010,0.924131713
p39111,2010,1.036524204
p21125,2010,1.190359263
p20001,2010,0.850683136
p18141,2010,0.961886126
p51143,2010,0.896272179
p29059,2010,1.588325951
p39005,2010,0.869347066
p48303,2010,0.946705704
p18167,2010,0.711676409
p47083,2010,0.903663737
p18055,2010,0.664684026
p55131,2010,1.094816423
p18077,2010,0.94759193
p20209,2010,0.774929795
p17193,2010,0.904586204
p12101,2010,0.876309797
p12119,2010,1.326048889
p19007,2010,1.148971889
p18163,2010,0.189048331
p29071,2010,0.920922519
p01003,2010,1.452893371
p37033,2010,0.896272179
p47161,2010,0.903663737
p32033,2010,1.056764784
p55097,2010,0.885412189
p45071,2010,1.310592061
p51037,2010,0.896272179
p47145,2010,1.322193365
p19113,2010,1.287164491
p39151,2010,0.869347066
p26161,2010,0.957279947
p20005,2010,0.774929795
p20121,2010,0.850683136
p39079,2010,0.885398785
p39135,2010,1.475017634
p26127,2010,0.965898675
p56037,2010,0.929170983
p04005,2010,0.923591639
p55089,2010,1.094816423
p55035,2010,1.021564245
p05143,2010,0.83275576
p56011,2010,0.373543116
p55117,2010,0.965898675
p48055,2010,1.2714597
p31117,2010,0.655945189
p01037,2010,1.171250234
p21081,2010,0.837844092
p18043,2010,0.807782247
p39095,2010,0.957279947
p54031,2010,0.773654069
p19177,2010,1.148971889
p45063,2010,1.310592061
p55039,2010,0.965898675
p48449,2010,1.004226752
p54027,2010,0.773654069
