ba,node_b,bin,cap_mw,marginal_$_per_MW,marginal_$_per_kW,cum_cap_mw_node
p63,b002998,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,12.668891889902413
p63,b002998,11,0.540327178474399,2647143.4430617127,2647.143443061713,13.209219068376813
p63,b002998,12,0.2355297169208186,13324546.040327424,13324.546040327425,13.44474878529763
p63,b003048,0,54.0,20387.568418505747,20.387568418505747,54.0
p63,b003176,0,38.859262710708464,20387.568418505747,20.387568418505747,38.859262710708464
p63,b003176,7,2.6844330106885086,558476.2277283575,558.4762277283576,41.54369572139697
p63,b003176,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,41.916111272811364
p63,b003176,11,6.10157680972255,2647143.4430617127,2647.143443061713,48.017688082533915
p63,b003176,12,11.982311917466086,13324546.040327424,13324.546040327425,60.0
p63,b003190,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,0.3724155514144056
p63,b003200,2,1.3675900924156537,116549.41439949298,116.54941439949296,1.3675900924156537
p63,b003200,4,4.455273151653572,230844.972823203,230.844972823203,5.822863244069226
p63,b003200,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,6.195278795483632
p63,b003200,10,5.631940203330855,1798049.4042675337,1798.0494042675336,11.827218998814487
p63,b003200,11,1.75666287412244,2647143.4430617127,2647.143443061713,13.583881872936928
p63,b003237,0,28.722207972204146,20387.568418505747,20.387568418505747,28.722207972204146
p63,b003237,1,143.8439925540477,68201.60623169896,68.20160623169896,172.56620052625186
p63,b003237,2,11.677369962295614,116549.41439949298,116.54941439949296,184.24357048854748
p63,b003237,4,156.62349216076694,230844.972823203,230.844972823203,340.86706264931445
p63,b003237,7,55.548872619314366,558476.2277283575,558.4762277283576,396.4159352686288
p63,b003237,8,2.8449762252152464,1455670.1695349184,1455.6701695349184,399.26091149384405
p63,b003296,0,24.8848135456407,20387.568418505747,20.387568418505747,24.8848135456407
p63,b003296,1,4.394544143521355,68201.60623169896,68.20160623169896,29.279357689162055
p63,b003296,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,29.651773240576446
