region,capacity_GW,cum_cost_$,slope_$/kW
3821f559a445565a9d7e817f21878b66,5.389787,1297992356.8,5639.4821
3821f559a445565a9d7e817f21878b66,5.783557,3937070924.9,6702.0813
3821f559a445565a9d7e817f21878b66,5.913006,4808660803.3,6733.0754
3821f559a445565a9d7e817f21878b66,5.927851,5359495501.0,37105.7392
3821f559a445565a9d7e817f21878b66,5.928032,5371116556.2,64204.7248
4026f5142c9d6374247865fc12b78aed,4.96866,0.0,
4026f5142c9d6374247865fc12b78aed,5.661744,97387347.6,140.5131
4026f5142c9d6374247865fc12b78aed,5.880927,147100395.6,226.8107
4026f5142c9d6374247865fc12b78aed,6.508871,594936504.7,713.1784
4026f5142c9d6374247865fc12b78aed,34.561656,35396819179.4,1240.5857
4026f5142c9d6374247865fc12b78aed,35.584297,36790941057.2,1363.2564
4026f5142c9d6374247865fc12b78aed,36.594759,38479114230.5,1670.6944
4026f5142c9d6374247865fc12b78aed,37.312852,39773975243.7,1803.194
4026f5142c9d6374247865fc12b78aed,48.477894,60317660523.0,1840.0007
4026f5142c9d6374247865fc12b78aed,50.352554,64554537152.0,2260.0774
4026f5142c9d6374247865fc12b78aed,58.046335,83794651232.6,2500.7359
4026f5142c9d6374247865fc12b78aed,63.2158,99523956605.9,3042.7337
4026f5142c9d6374247865fc12b78aed,71.368647,124615085442.4,3077.591
4026f5142c9d6374247865fc12b78aed,71.891914,126605940520.0,3804.6639
420e9f98c829e36511b29c4f3d3174fe,0.990617,176504552.5,
420e9f98c829e36511b29c4f3d3174fe,1.773,0.0,-225.5987
420e9f98c829e36511b29c4f3d3174fe,2.358134,28971471.8,49.5125
420e9f98c829e36511b29c4f3d3174fe,2.864526,57942943.6,57.2116
420e9f98c829e36511b29c4f3d3174fe,3.749917,475788777.1,471.9337
420e9f98c829e36511b29c4f3d3174fe,4.834225,1227312087.4,693.0903
420e9f98c829e36511b29c4f3d3174fe,5.214384,1536108806.3,812.2831
420e9f98c829e36511b29c4f3d3174fe,5.844096,2384815308.1,1347.7693
420e9f98c829e36511b29c4f3d3174fe,13.856192,14163240033.7,1470.0803
420e9f98c829e36511b29c4f3d3174fe,14.448345,15061953712.3,1517.7052
420e9f98c829e36511b29c4f3d3174fe,14.44861,15068369529.1,24210.6296
42c235ae41fc004e2bfd44da309b7153,17.394961,0.0,
42c235ae41fc004e2bfd44da309b7153,26.415454,173857384.8,19.2736
42c235ae41fc004e2bfd44da309b7153,28.544449,238962786.4,30.5803
42c235ae41fc004e2bfd44da309b7153,34.090141,434078271.2,35.1833
42c235ae41fc004e2bfd44da309b7153,41.673121,1392462018.3,126.3862
42c235ae41fc004e2bfd44da309b7153,259.242013,37150961645.9,164.3548
44d960540028642474acfd25467e7a96,6.531242,0.0,
44d960540028642474acfd25467e7a96,8.820198,32339427.8,14.1285
44d960540028642474acfd25467e7a96,11.411815,69971881.1,14.5208
44d960540028642474acfd25467e7a96,13.831869,112599950.7,17.6145
44d960540028642474acfd25467e7a96,15.779282,178211772.9,33.6918
44d960540028642474acfd25467e7a96,17.937395,289288163.1,51.4692
44d960540028642474acfd25467e7a96,19.214516,383086262.2,73.445
44d960540028642474acfd25467e7a96,19.484428,468861709.1,317.7904
44d960540028642474acfd25467e7a96,21.444202,1719848260.2,638.332
44d960540028642474acfd25467e7a96,26.358217,5821098841.5,834.6028
44d960540028642474acfd25467e7a96,26.674926,6180107835.5,1133.5611
44d960540028642474acfd25467e7a96,26.779482,6301007759.2,1156.3174
44d960540028642474acfd25467e7a96,37.107612,19159608112.3,1245.0076
44d960540028642474acfd25467e7a96,59.743026,55574533634.2,1608.759
44d960540028642474acfd25467e7a96,60.041493,56194914039.1,2078.5561
44d960540028642474acfd25467e7a96,60.273222,56857561829.3,2859.5808
44d960540028642474acfd25467e7a96,60.522645,58105581748.0,5003.628
44d960540028642474acfd25467e7a96,60.529808,58196445265.3,12685.1204
45a1cae9e3fb7425c15bc04bec28af32,11.818583,0.0,
45a1cae9e3fb7425c15bc04bec28af32,14.133783,39949282.1,17.2552
45a1cae9e3fb7425c15bc04bec28af32,15.602422,98754485.4,40.0406
45a1cae9e3fb7425c15bc04bec28af32,20.508871,299499295.4,40.9145
45a1cae9e3fb7425c15bc04bec28af32,23.174175,566350755.8,100.1205
45a1cae9e3fb7425c15bc04bec28af32,25.487927,870098671.7,131.2794
45a1cae9e3fb7425c15bc04bec28af32,30.209963,2195156289.2,280.6115
