*r,rtscbin,sc_cat,value
p41031,bin2,cost,331.26
p41031,bin2,cap,2000
p41031,bin3,cost,3312.63
p41031,bin3,cap,20000
p41039,bin1,cost,107.66
p41039,bin1,cap,1000
p41039,bin2,cost,331.26
p41039,bin2,cap,2000
p41039,bin3,cost,3312.63
p41039,bin3,cap,20000
p41041,bin1,cost,107.66
p41041,bin1,cap,1000
p41041,bin2,cost,331.26
p41041,bin2,cap,2000
p41041,bin3,cost,3312.63
p41041,bin3,cap,20000
p41043,bin1,cost,107.66
p41043,bin1,cap,1000
p41043,bin2,cost,331.26
p41043,bin2,cap,2000
p41043,bin3,cost,3312.63
p41043,bin3,cap,20000
p41047,bin1,cost,107.66
p41047,bin1,cap,1000
p41047,bin2,cost,331.26
p41047,bin2,cap,2000
p41047,bin3,cost,3312.63
p41047,bin3,cap,20000
p41049,bin1,cost,107.66
p41049,bin1,cap,1000
p41049,bin2,cost,331.26
p41049,bin2,cap,2000
p41049,bin3,cost,3312.63
p41049,bin3,cap,20000
p41051,bin1,cost,107.66
p41051,bin1,cap,1000
p41051,bin2,cost,331.26
p41051,bin2,cap,2000
p41051,bin3,cost,3312.63
p41051,bin3,cap,20000
p41053,bin1,cost,107.66
p41053,bin1,cap,1000
p41053,bin2,cost,331.26
p41053,bin2,cap,2000
p41053,bin3,cost,3312.63
p41053,bin3,cap,20000
p41055,bin1,cost,107.66
p41055,bin1,cap,1000
p41055,bin2,cost,331.26
p41055,bin2,cap,2000
p41055,bin3,cost,3312.63
p41055,bin3,cap,20000
p41057,bin1,cost,107.66
p41057,bin1,cap,1000
p41057,bin2,cost,331.26
p41057,bin2,cap,2000
p41057,bin3,cost,3312.63
p41057,bin3,cap,20000
p41059,bin1,cost,107.66
p41059,bin1,cap,1000
p41059,bin2,cost,331.26
p41059,bin2,cap,2000
p41059,bin3,cost,3312.63
p41059,bin3,cap,20000
p41061,bin1,cost,107.66
p41061,bin1,cap,1000
p41061,bin2,cost,331.26
p41061,bin2,cap,2000
p41061,bin3,cost,3312.63
p41061,bin3,cap,20000
p41063,bin1,cost,107.66
p41063,bin1,cap,1000
p41063,bin2,cost,331.26
p41063,bin2,cap,2000
p41063,bin3,cost,3312.63
p41063,bin3,cap,20000
p41065,bin1,cost,107.66
p41065,bin1,cap,1000
p41065,bin2,cost,331.26
p41065,bin2,cap,2000
p41065,bin3,cost,3312.63
p41065,bin3,cap,20000
p41067,bin1,cost,107.66
p41067,bin1,cap,1000
p41067,bin2,cost,331.26
p41067,bin2,cap,2000
p41067,bin3,cost,3312.63
p41067,bin3,cap,20000
p41069,bin1,cost,107.66
p41069,bin1,cap,1000
p41069,bin2,cost,331.26
p41069,bin2,cap,2000
p41069,bin3,cost,3312.63
p41069,bin3,cap,20000
p41071,bin1,cost,107.66
p41071,bin1,cap,1000
p41071,bin2,cost,331.26
p41071,bin2,cap,2000
p41071,bin3,cost,3312.63
p41071,bin3,cap,20000
p41011,bin1,cost,107.66
p41011,bin1,cap,1000
p41011,bin2,cost,331.26
p41011,bin2,cap,2000
p41011,bin3,cost,3312.63
