*r,rtscbin,sc_cat,value
p49,bin1,cap,1000
p49,bin2,cost,331.26
p49,bin2,cap,2000
p49,bin3,cost,3312.63
p49,bin3,cap,20000
p50,bin1,cost,107.66
p50,bin1,cap,1000
p50,bin2,cost,331.26
p50,bin2,cap,2000
p50,bin3,cost,3312.63
p50,bin3,cap,20000
p51,bin1,cost,107.66
p51,bin1,cap,1000
p51,bin2,cost,331.26
p51,bin2,cap,2000
p51,bin3,cost,3312.63
p51,bin3,cap,20000
p52,bin1,cost,107.66
p52,bin1,cap,1000
p52,bin2,cost,331.26
p52,bin2,cap,2000
p52,bin3,cost,3312.63
p52,bin3,cap,20000
p53,bin1,cost,107.66
p53,bin1,cap,1000
p53,bin2,cost,331.26
p53,bin2,cap,2000
p53,bin3,cost,3312.63
p53,bin3,cap,20000
p54,bin1,cost,107.66
p54,bin1,cap,1000
p54,bin2,cost,331.26
p54,bin2,cap,2000
p54,bin3,cost,3312.63
p54,bin3,cap,20000
p55,bin1,cost,107.66
p55,bin1,cap,1000
p55,bin2,cost,331.26
p55,bin2,cap,2000
p55,bin3,cost,3312.63
p55,bin3,cap,20000
p56,bin1,cost,107.66
p56,bin1,cap,1000
p56,bin2,cost,331.26
p56,bin2,cap,2000
p56,bin3,cost,3312.63
p56,bin3,cap,20000
p57,bin1,cost,107.66
p57,bin1,cap,1000
p57,bin2,cost,331.26
p57,bin2,cap,2000
p57,bin3,cost,3312.63
p57,bin3,cap,20000
p58,bin1,cost,107.66
p58,bin1,cap,1000
p58,bin2,cost,331.26
p58,bin2,cap,2000
p58,bin3,cost,3312.63
p58,bin3,cap,20000
p59,bin1,cost,107.66
p59,bin1,cap,1000
p59,bin2,cost,331.26
p59,bin2,cap,2000
p59,bin3,cost,3312.63
p59,bin3,cap,20000
p60,bin1,cost,107.66
p60,bin1,cap,1000
p60,bin2,cost,331.26
p60,bin2,cap,2000
p60,bin3,cost,3312.63
p60,bin3,cap,20000
p61,bin1,cost,107.66
p61,bin1,cap,1000
p61,bin2,cost,331.26
p61,bin2,cap,2000
p61,bin3,cost,3312.63
p61,bin3,cap,20000
p62,bin1,cost,107.66
p62,bin1,cap,1000
p62,bin2,cost,331.26
p62,bin2,cap,2000
p62,bin3,cost,3312.63
p62,bin3,cap,20000
p63,bin1,cost,107.66
p63,bin1,cap,1000
p63,bin2,cost,331.26
p63,bin2,cap,2000
p63,bin3,cost,3312.63
p63,bin3,cap,20000
p64,bin1,cost,107.66
p64,bin1,cap,1000
p64,bin2,cost,331.26
p64,bin2,cap,2000
p64,bin3,cost,3312.63
p64,bin3,cap,20000
p65,bin1,cost,107.66
p65,bin1,cap,1000
p65,bin2,cost,331.26
p65,bin2,cap,2000
p65,bin3,cost,3312.63
p65,bin3,cap,20000
p66,bin1,cost,107.66
p66,bin1,cap,1000
p66,bin2,cost,331.26
p66,bin2,cap,2000
p66,bin3,cost,3312.63
p66,bin3,cap,20000
p67,bin1,cost,107.66
p67,bin1,cap,1000
p67,bin2,cost,331.26
p67,bin2,cap,2000
p67,bin3,cost,3312.63
p67,bin3,cap,20000
p68,bin1,cost,107.66
p68,bin1,cap,1000
p68,bin2,cost,331.26
p68,bin2,cap,2000
p68,bin3,cost,3312.63
p68,bin3,cap,20000
p71,bin1,cost,107.66
p71,bin1,cap,1000
p71,bin2,cost,331.26
p71,bin2,cap,2000
p71,bin3,cost,3312.63
p71,bin3,cap,20000
p72,bin1,cost,107.66
p72,bin1,cap,1000
p72,bin2,cost,331.26
p72,bin2,cap,2000
p72,bin3,cost,3312.63
p72,bin3,cap,20000
p73,bin1,cost,107.66
p73,bin1,cap,1000
p73,bin2,cost,331.26
p73,bin2,cap,2000
p73,bin3,cost,3312.63
p73,bin3,cap,20000
p84,bin1,cost,107.66
p84,bin1,cap,1000
p84,bin2,cost,331.26
p84,bin2,cap,2000
p84,bin3,cost,3312.63
p84,bin3,cap,20000
p85,bin1,cost,107.66
p85,bin1,cap,1000
p85,bin2,cost,331.26
p85,bin2,cap,2000
p85,bin3,cost,3312.63
p85,bin3,cap,20000
p86,bin1,cost,107.66
p86,bin1,cap,1000
p86,bin2,cost,331.26
p86,bin2,cap,2000
p86,bin3,cost,3312.63
p86,bin3,cap,20000
p87,bin1,cost,107.66
p87,bin1,cap,1000
p87,bin2,cost,331.26
p87,bin2,cap,2000
p87,bin3,cost,3312.63
p87,bin3,cap,20000
p88,bin1,cost,107.66
p88,bin1,cap,1000
p88,bin2,cost,331.26
p88,bin2,cap,2000
p88,bin3,cost,3312.63
p88,bin3,cap,20000
p89,bin1,cost,107.66
p89,bin1,cap,1000
p89,bin2,cost,331.26
p89,bin2,cap,2000
p89,bin3,cost,3312.63
p89,bin3,cap,20000
p90,bin1,cost,107.66
p90,bin1,cap,1000
p90,bin2,cost,331.26
p90,bin2,cap,2000
p90,bin3,cost,3312.63
p90,bin3,cap,20000
p91,bin1,cost,107.66
p91,bin1,cap,1000
p91,bin2,cost,331.26
p91,bin2,cap,2000
p91,bin3,cost,3312.63
p91,bin3,cap,20000
p94,bin1,cost,107.66
p94,bin1,cap,1000
p94,bin2,cost,331.26
p94,bin2,cap,2000
p94,bin3,cost,3312.63
p94,bin3,cap,20000
p95,bin1,cost,107.66
p95,bin1,cap,1000
p95,bin2,cost,331.26
p95,bin2,cap,2000
p95,bin3,cost,3312.63
p95,bin3,cap,20000
p96,bin1,cost,107.66
p96,bin1,cap,1000
p96,bin2,cost,331.26
p96,bin2,cap,2000
p96,bin3,cost,3312.63
p96,bin3,cap,20000
p101,bin1,cost,107.66
p101,bin1,cap,1000
p101,bin2,cost,331.26
p101,bin2,cap,2000
p101,bin3,cost,3312.63
p101,bin3,cap,20000
p102,bin1,cost,107.66
p102,bin1,cap,1000
p102,bin2,cost,331.26
p102,bin2,cap,2000
p102,bin3,cost,3312.63
p102,bin3,cap,20000
p129,bin1,cost,107.66
p129,bin1,cap,1000
p129,bin2,cost,331.26
p129,bin2,cap,2000
p129,bin3,cost,3312.63
p129,bin3,cap,20000
p130,bin1,cost,107.66
p130,bin1,cap,1000
p130,bin2,cost,331.26
p130,bin2,cap,2000
p130,bin3,cost,3312.63
p130,bin3,cap,20000
p131,bin1,cost,107.66
p131,bin1,cap,1000
p131,bin2,cost,331.26
p131,bin2,cap,2000
p131,bin3,cost,3312.63
p131,bin3,cap,20000
p132,bin1,cost,107.66
p132,bin1,cap,1000
p132,bin2,cost,331.26
p132,bin2,cap,2000
p132,bin3,cost,3312.63
p132,bin3,cap,20000
p133,bin1,cost,107.66
p133,bin1,cap,1000
p133,bin2,cost,331.26
p133,bin2,cap,2000
p133,bin3,cost,3312.63
p133,bin3,cap,20000
p134,bin1,cost,107.66
p134,bin1,cap,1000
p134,bin2,cost,331.26
p134,bin2,cap,2000
p134,bin3,cost,3312.63
p134,bin3,cap,20000
p10001,bin1,cost,107.66
p10001,bin1,cap,1000
p10001,bin2,cost,331.26
p10001,bin2,cap,2000
p10001,bin3,cost,3312.63
p10001,bin3,cap,20000
p10003,bin1,cost,107.66
p10003,bin1,cap,1000
p10003,bin2,cost,331.26
p10003,bin2,cap,2000
p10003,bin3,cost,3312.63
p10003,bin3,cap,20000
p10005,bin1,cost,107.66
p10005,bin1,cap,1000
p10005,bin2,cost,331.26
p10005,bin2,cap,2000
p10005,bin3,cost,3312.63
p10005,bin3,cap,20000
p11001,bin1,cost,107.66
p11001,bin1,cap,1000
p11001,bin2,cost,331.26
p11001,bin2,cap,2000
p11001,bin3,cost,3312.63
p11001,bin3,cap,20000
p17001,bin1,cost,107.66
p17001,bin1,cap,1000
p17001,bin2,cost,331.26
p17001,bin2,cap,2000
p17001,bin3,cost,3312.63
p17001,bin3,cap,20000
p17003,bin1,cost,107.66
p17003,bin1,cap,1000
p17003,bin2,cost,331.26
p17003,bin2,cap,2000
p17003,bin3,cost,3312.63
p17003,bin3,cap,20000
p17005,bin1,cost,107.66
p17005,bin1,cap,1000
p17005,bin2,cost,331.26
p17005,bin2,cap,2000
p17005,bin3,cost,3312.63
p17005,bin3,cap,20000
p17007,bin1,cost,107.66
p17007,bin1,cap,1000
p17007,bin2,cost,331.26
p17007,bin2,cap,2000
p17007,bin3,cost,3312.63
p17007,bin3,cap,20000
