t,fuel,cost_2021_per_mmbtu,source,quality
2025,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2026,dfo,23.6,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2027,dfo,23.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2028,dfo,22.8,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2029,dfo,22.9,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2030,dfo,23.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2031,dfo,23.14,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2032,dfo,23.28,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2033,dfo,23.419999999999998,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2034,dfo,23.56,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2035,dfo,23.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2036,dfo,23.84,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2037,dfo,23.98,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2038,dfo,24.119999999999997,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2039,dfo,24.259999999999998,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2040,dfo,24.4,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2041,dfo,24.54,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2042,dfo,24.68,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2043,dfo,24.82,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2044,dfo,24.96,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2045,dfo,25.1,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2046,dfo,25.24,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2047,dfo,25.38,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2048,dfo,25.52,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2049,dfo,25.66,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2050,dfo,25.8,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2010,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2011,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2012,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2013,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2014,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2015,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2016,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2017,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2018,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2019,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2020,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2021,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2022,rfo,19.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2023,rfo,19.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2024,rfo,19.4,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2025,rfo,19.5,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2026,rfo,19.62,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2027,rfo,19.740000000000002,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2028,rfo,19.86,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2029,rfo,19.98,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2030,rfo,20.1,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2031,rfo,20.23,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2032,rfo,20.36,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2033,rfo,20.490000000000002,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2034,rfo,20.62,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2035,rfo,20.75,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2036,rfo,20.88,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2037,rfo,21.009999999999998,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2038,rfo,21.14,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2039,rfo,21.27,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2040,rfo,21.4,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2041,rfo,21.53333333333333,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2042,rfo,21.666666666666664,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2043,rfo,21.8,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2044,rfo,21.933333333333334,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2045,rfo,22.066666666666666,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2046,rfo,22.2,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2047,rfo,22.333333333333336,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2048,rfo,22.46666666666667,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2049,rfo,22.6,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2050,rfo,41.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
