source_id,source_kind,tech,region,capacity_mw,start_year,retire_year,duration_hours
PR100_RA_10h_2025_pr428,official_PR100_storage_prescription,battery_li,pr428,9.477045061120492,2025,2051,10.0
PR100_RA_10h_2025_pr440,official_PR100_storage_prescription,battery_li,pr440,7.581636048896393,2025,2051,10.0
PR100_RA_10h_2025_pr8,official_PR100_storage_prescription,battery_li,pr8,9.477045061120492,2025,2051,10.0
PR100_RA_10h_2025_pr97014,official_PR100_storage_prescription,battery_li,pr97014,12.509699480679048,2025,2051,10.0
PR100_RA_10h_2025_pr97064,official_PR100_storage_prescription,battery_li,pr97064,9.477045061120492,2025,2051,10.0
PR100_RA_10h_2030_pr107,official_PR100_storage_prescription,battery_li,pr107,14.204545454545464,2030,2051,10.0
PR100_RA_10h_2030_pr116,official_PR100_storage_prescription,battery_li,pr116,2.450284090909092,2030,2051,10.0
PR100_RA_10h_2030_pr1206,official_PR100_storage_prescription,battery_li,pr1206,11.83712121212122,2030,2051,10.0
PR100_RA_10h_2030_pr14,official_PR100_storage_prescription,battery_li,pr14,8.380681818181825,2030,2051,10.0
PR100_RA_10h_2030_pr16,official_PR100_storage_prescription,battery_li,pr16,5.3267045454545485,2030,2051,10.0
PR100_RA_10h_2030_pr167,official_PR100_storage_prescription,battery_li,pr167,7.102272727272732,2030,2051,10.0
PR100_RA_10h_2030_pr169,official_PR100_storage_prescription,battery_li,pr169,4.142992424242427,2030,2051,10.0
PR100_RA_10h_2030_pr296,official_PR100_storage_prescription,battery_li,pr296,18.93939393939395,2030,2051,10.0
PR100_RA_10h_2030_pr321,official_PR100_storage_prescription,battery_li,pr321,9.505208333333337,2030,2051,10.0
PR100_RA_10h_2030_pr41,official_PR100_storage_prescription,battery_li,pr41,2.959280303030305,2030,2051,10.0
PR100_RA_10h_2030_pr428,official_PR100_storage_prescription,battery_li,pr428,2.959280303030305,2030,2051,10.0
PR100_RA_10h_2030_pr440,official_PR100_storage_prescription,battery_li,pr440,2.3674242424242435,2030,2051,10.0
PR100_RA_10h_2030_pr8,official_PR100_storage_prescription,battery_li,pr8,2.959280303030305,2030,2051,10.0
PR100_RA_10h_2030_pr97014,official_PR100_storage_prescription,battery_li,pr97014,3.906250000000002,2030,2051,10.0
PR100_RA_10h_2030_pr97064,official_PR100_storage_prescription,battery_li,pr97064,2.959280303030305,2030,2051,10.0
PR100_RA_10h_2045_pr107,official_PR100_storage_prescription,battery_li,pr107,7.3474117534036205,2045,2051,10.0
PR100_RA_10h_2045_pr116,official_PR100_storage_prescription,battery_li,pr116,1.2674285274621244,2045,2051,10.0
PR100_RA_10h_2045_pr1206,official_PR100_storage_prescription,battery_li,pr1206,6.12284312783635,2045,2051,10.0
PR100_RA_10h_2045_pr14,official_PR100_storage_prescription,battery_li,pr14,4.334972934508137,2045,2051,10.0
PR100_RA_10h_2045_pr16,official_PR100_storage_prescription,battery_li,pr16,2.7552794075263574,2045,2051,10.0
