sc_point_gid,class,capacity,capital_adder_per_mw,cf
78188,1,3.08,274072.38,0.1645
78190,2,0.76,87100.47,0.1655
78192,1,2.68,90818.5,0.0917
78193,1,0.31,122611.59,0.0771
78194,1,1.74,115050.68,0.0934
78195,1,3.95,117851.58,0.0785
78206,2,5.1,1369900.19,0.181
78208,3,2.0,1424251.69,0.2424
78214,1,3.23,217519.97,0.1625
78215,2,2.14,192161.15,0.1812
78217,2,3.59,204191.7,0.1756
78218,2,1.47,140661.22,0.1892
78221,1,0.44,409684.47,0.1644
78222,1,0.78,257687.66,0.1624
78223,1,1.8,309852.9,0.1417
78224,1,1.91,302857.72,0.1503
78225,2,2.38,226669.17,0.1743
78226,4,0.86,1505557.72,0.3097
78239,3,0.91,1473333.69,0.255
78240,3,1.24,165035.28,0.2627
78241,2,0.21,220035.05,0.203
78242,2,0.3,179811.45,0.2105
78243,2,1.76,131008.59,0.2201
78244,3,2.32,85548.4,0.2541
78245,4,4.17,85871.29,0.2849
78246,3,1.77,113185.77,0.2365
78249,6,1.26,136384.9,0.3908
78250,5,2.07,125041.0,0.3487
78251,4,3.17,128920.04,0.3332
78260,3,1.41,77609.08,0.2681
78261,3,3.56,53233.03,0.25
78262,3,5.62,63640.64,0.2687
78263,4,4.06,96005.47,0.3274
78264,5,1.45,103949.29,0.3434
78270,5,0.34,123566.35,0.372
78271,6,0.31,166601.48,0.3827
78273,6,2.33,89122.62,0.3942
78284,6,1.04,73911.14,0.4002
78285,5,1.66,58713.28,0.3671
78316,8,54.0,144043.65,0.4434
78322,8,114.0,130181.89,0.4421
78347,5,6.0,5944820.99,0.3677
78365,5,1.82,125472.2,0.3499
78366,5,3.0,45028.18,0.3456
78367,5,1.5,164655.24,0.3459
78380,4,5.4,115814.19,0.3043
78470,7,54.0,87202.26,0.4198
78471,7,60.0,97775.87,0.4227
78815,4,1.61,297961.0,0.2893
78816,3,5.52,257284.23,0.2409
78820,3,1.79,199747.66,0.2363
78826,1,0.42,265269.01,0.088
78827,1,1.33,158360.1,0.0972
78828,1,6.81,202981.16,0.0945
78829,1,0.49,249402.81,0.1447
78833,1,0.21,276695.12,0.1337
78834,1,0.32,234010.72,0.1585
78835,2,1.76,194762.93,0.1914
78836,1,0.3,178137.19,0.1614
78837,2,0.5,169114.22,0.2017
78838,2,2.74,172869.65,0.1984
78839,2,1.42,81996.01,0.1998
78840,4,0.76,126841.43,0.3142
78843,3,0.97,134077.17,0.2438
78844,3,3.11,123126.25,0.2575
78845,2,3.07,45321.85,0.2176
78846,2,6.16,52129.27,0.2045
78852,3,1.45,90090.05,0.2326
78854,2,0.51,95739.86,0.2049
78855,2,2.94,31162.26,0.2017
78856,2,0.13,86819.92,0.2174
78867,1,2.33,110351.1,0.1563
78868,2,1.88,123957.87,0.1743
78874,2,2.24,151371.57,0.1951
78875,1,6.79,182796.18,0.1288
78876,1,0.72,141001.35,0.1036
78877,1,0.44,173488.3,0.1106
78881,1,0.33,180919.71,0.0769
78890,2,0.06,198764.43,0.1924
78893,2,0.32,184835.75,0.2198
78897,3,2.18,313296.34,0.2484
78900,1,0.01,247641.2,0.1551
78906,2,4.83,293821.33,0.1866
78907,1,2.01,308904.99,0.1492
78908,1,2.26,266288.49,0.1426
78909,2,0.56,275030.49,0.199
78920,7,4.63,224039.96,0.4112
78922,4,0.71,196706.08,0.34
78923,4,1.16,215557.8,0.3169
78924,3,3.02,326051.35,0.2366
78926,3,1.24,1462052.33,0.2508
78927,3,4.98,192790.45,0.2411
78928,3,1.8,105635.74,0.2469
78929,3,2.48,95891.2,0.2385
78930,2,4.16,117317.56,0.1953
78931,1,2.14,68587.93,0.1512
78935,5,3.35,84776.82,0.3572
78943,3,1.24,159973.33,0.2382
78945,3,1.3,99999.66,0.2819
78946,4,1.48,103248.05,0.3039
78947,4,0.93,99659.68,0.3231
78948,5,1.77,64172.08,0.344
78949,4,2.64,57402.59,0.313
78950,4,3.55,21172.77,0.315
78953,5,1.72,114789.1,0.3477
78954,5,0.28,132416.49,0.3569
78955,6,1.02,200069.41,0.3951
78958,6,5.0,64429.26,0.3823
78960,6,4.64,1284723.12,0.3969
78964,7,4.08,163629.57,0.4243
78968,8,1.91,1301612.82,0.4434
79000,8,36.0,198109.72,0.4534
79001,8,60.0,123410.24,0.4441
79006,8,126.0,121672.88,0.4435
79007,9,54.0,144209.78,0.4616
79008,8,6.0,1417927.97,0.4477
79020,7,6.0,1502468.02,0.417
79028,6,6.0,2676365.12,0.3984
79057,5,6.0,3026298.39,0.3621
79092,4,0.52,125091.78,0.3331
79093,4,1.47,62870.15,0.3315
79094,4,2.36,114540.96,0.3393
79095,5,0.1,31370.38,0.3422
79096,4,4.79,16876.47,0.3353
79097,4,3.1,28919.27,0.3193
79098,5,2.66,37596.45,0.3465
79099,5,1.88,65846.89,0.3485
79503,3,3.42,236819.81,0.2285
79506,1,0.54,254066.08,0.0823
79507,1,3.13,284394.11,0.0964
79510,1,4.11,195220.11,0.1082
79511,1,0.62,175212.35,0.1196
79512,2,0.15,375152.33,0.1845
79516,2,1.0,263541.26,0.194
79517,1,0.32,214008.82,0.1626
79518,1,1.39,166858.87,0.1314
79519,2,0.67,159277.2,0.1805
79520,2,1.36,163194.7,0.1902
79521,2,5.36,139366.55,0.2162
79522,2,0.16,135020.84,0.2145
79523,3,0.48,115240.83,0.2488
79524,4,0.07,75549.19,0.313
79526,2,1.17,114433.12,0.1838
79527,3,2.01,92174.95,0.2304
79528,3,3.2,57913.71,0.2257
79529,3,4.34,52697.23,0.2576
79530,3,4.58,132000.16,0.2282
79538,2,4.93,125074.12,0.2078
79539,2,3.07,119086.66,0.2043
79540,2,2.16,136638.94,0.2075
79548,1,2.13,113999.81,0.1293
79549,1,0.22,82823.69,0.127
79553,3,3.77,144171.91,0.266
79558,2,0.4,1443834.0,0.212
79560,1,1.48,162139.49,0.1252
79561,1,0.7,130844.05,0.1428
79563,2,3.28,125929.04,0.1938
79564,1,0.07,80247.01,0.0842
79573,1,1.24,259483.51,0.1626
79575,2,3.0,1454130.51,0.1849
79582,1,2.05,209559.78,0.1464
79583,1,1.4,157147.58,0.1282
79591,1,2.83,329503.21,0.1616
79592,1,3.18,259887.68,0.122
79593,1,1.49,271453.84,0.1459
