sc_point_gid,class,capacity,capital_adder_per_mw,mean_resource_temp
50890,8,379.27,0,169
50891,8,262.61,0,168
50892,8,387.97,0,164
50893,8,405.93,0,168
50894,8,303.34,0,166
50895,8,247.32,0,166
50896,8,112.07,0,166
50897,8,100.95,0,171
50898,8,81.94,0,165
50899,8,57.83,0,167
50900,8,20.06,0,160
51141,9,39.73,0,137
51142,9,334.48,0,136
51143,9,340.06,0,137
51144,9,363.8,0,139
51145,9,352.73,0,141
51146,9,350.35,0,140
51147,9,343.87,0,140
51148,9,333.42,0,141
51149,9,329.76,0,138
51150,9,288.41,0,138
51151,9,262.57,0,139
51152,9,243.45,0,142
51153,9,216.66,0,143
51154,9,173.13,0,143
51155,9,86.82,0,145
51470,7,436.16,0,188
51471,7,333.44,0,183
51472,7,451.37,0,186
51473,7,450.41,0,178
51474,7,428.08,0,180
51475,7,430.13,0,178
51476,7,225.09,0,176
51477,7,383.52,0,177
51478,8,337.7,0,164
51479,7,420.97,0,196
51480,7,520.56,0,198
51481,7,358.93,0,193
51482,7,370.09,0,184
51483,7,209.55,0,194
