sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp
92675,8,285.76,0,0.9947,173
92676,8,284.39,0,0.9947,172
92677,8,110.31,0,0.9947,171
92678,8,160.08,0,0.9947,172
92679,8,128.83,0,0.9946,167
92680,8,83.66,0,0.9946,162
92681,8,84.58,0,0.9946,162
92682,8,119.38,0,0.9946,165
92683,8,154.63,0,0.9946,167
92684,8,96.92,0,0.9947,169
92685,8,103.3,0,0.9946,168
92686,8,52.54,0,0.9946,167
92687,8,55.9,0,0.9946,164
92688,8,75.2,0,0.9946,163
92689,8,110.88,0,0.9946,163
92690,8,86.69,0,0.9946,162
92691,8,51.7,0,0.9946,162
92692,8,54.09,0,0.9946,162
92693,8,47.28,0,0.9946,161
92694,8,45.36,0,0.9945,161
92695,8,46.87,0,0.9946,162
92696,8,48.33,0,0.9946,163
92697,8,51.11,0,0.9946,166
92698,8,47.24,0,0.9947,170
92699,8,49.71,0,0.9947,170
92700,8,43.19,0,0.9946,162
92701,8,61.44,0,0.9946,163
92702,8,54.02,0,0.9946,165
92703,8,48.43,0,0.9945,159
92704,8,48.92,0,0.9945,160
92705,8,51.53,0,0.9945,160
92706,8,62.42,0,0.9945,160
92707,8,52.28,0,0.9945,161
92708,8,49.21,0,0.9946,162
92709,8,41.48,0,0.9946,162
92710,8,44.7,0,0.9946,161
92711,8,45.23,0,0.9945,161
92712,8,49.86,0,0.9946,161
92713,8,56.75,0,0.9946,164
92714,8,71.31,0,0.9946,168
92715,8,49.88,0,0.9946,163
92716,8,47.84,0,0.9946,162
92717,8,69.5,0,0.9946,162
92718,8,72.75,0,0.9945,161
92719,8,43.59,0,0.9945,159
92720,8,46.68,0,0.9945,157
92721,8,57.94,0,0.9945,157
92722,8,131.3,0,0.9945,159
92723,8,186.29,0,0.9946,162
92724,8,185.95,0,0.9946,163
92725,8,70.66,0,0.9946,161
92726,8,102.42,0,0.9945,160
92727,8,187.89,0,0.9946,162
92728,8,258.67,0,0.9946,163
92729,8,268.84,0,0.9946,164
92730,8,326.75,0,0.9946,164
92731,8,260.61,0,0.9946,164
92732,8,270.07,0,0.9946,164
92733,8,189.76,0,0.9946,164
92734,8,228.75,0,0.9946,163
92735,8,257.19,0,0.9946,162
92736,8,253.04,0,0.9946,162
92737,8,308.18,0,0.9946,165
92738,8,254.29,0,0.9946,164
92739,8,126.81,0,0.9946,162
92740,8,85.18,0,0.9946,162
92741,8,58.81,0,0.9946,164
92742,8,73.86,0,0.9945,159
92743,8,69.54,0,0.9945,156
92744,8,65.59,0,0.9944,154
92745,8,67.99,0,0.9944,154
92746,8,128.29,0,0.9944,154
