sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp,mean_resource_depth,lcoe_site_usd_per_mwh,lcoe_all_in_usd_per_mwh
136439,8,248.71,0,0.9945,154,6000,89.74882,92.86896
136440,8,285.81,0,0.9944,154,6000,90.04233,92.995125
136441,8,387.99,0,0.9947,173,7000,90.89905,93.87255
136442,9,229.09,0,0.9944,149,6000,91.536575,94.802155
136443,9,223.23,0,0.9943,147,6000,92.21776,95.30328
136444,8,402.62,0,0.9947,166,7000,92.602135,95.546005
136445,8,400.33,0,0.9947,167,7000,92.48988,95.39328
136446,9,287.84,0,0.9943,148,6000,91.89145,94.835594
136447,9,239.01,0,0.9943,147,6000,92.191475,95.58087
136448,9,361.32,0,0.9943,147,6000,92.43842,95.88693
136449,9,316.41,0,0.9943,145,6000,93.28349,96.815506
136450,9,201.87,0,0.9943,144,6000,93.33943,96.60137
136451,9,200.76,0,0.9943,145,6000,92.970726,96.21868
136452,9,118.69,0,0.9943,148,6000,91.86316,94.54194
136453,8,152.99,0,0.9944,150,6000,91.08058,93.73242
136454,9,164.36,0,0.9943,149,6000,91.71414,94.095215
136455,9,114.7,0,0.9943,147,6000,92.4534,94.682495
136456,9,118.92,0,0.9944,149,6000,91.498314,93.52916
136457,8,116.66,0,0.9944,151,6000,90.85713,92.917854
136458,8,93.04,0,0.9944,152,6000,90.41148,92.73325
136459,8,108.73,0,0.9944,153,6000,90.26736,92.77385
136460,8,95.8,0,0.9944,153,6000,90.30809,92.64752
136461,8,110.52,0,0.9944,153,6000,90.25394,92.351974
136462,8,202.66,0,0.9944,153,6000,90.123795,92.31372
136463,8,232.41,0,0.9944,154,6000,89.94203,92.26251
136464,8,193.04,0,0.9944,153,6000,90.219345,93.478096
136465,8,287.63,0,0.9944,154,6000,90.02892,92.089714
136466,8,298.68,0,0.9945,155,6000,89.54645,91.510956
136467,8,272.46,0,0.9945,155,6000,89.4421,91.42157
136468,8,288.32,0,0.9945,156,6000,89.22024,91.21081
136469,8,286.33,0,0.9945,156,6000,89.26957,91.3002
136470,8,159.17,0,0.9945,156,6000,89.41753,91.44849
136471,8,153.41,0,0.9945,155,6000,89.5051,91.236534
136472,8,72.31,0,0.9944,153,6000,90.15548,91.71298
136473,8,165.14,0,0.9944,152,6000,90.64009,92.48917
136474,8,123.52,0,0.9944,152,6000,90.689995,92.5592
136475,8,126.62,0,0.9944,152,6000,90.45165,91.92483
136476,8,133.23,0,0.9944,153,6000,90.09981,92.24762
136477,8,94.97,0,0.9944,154,6000,89.87247,91.79014
136478,8,176.71,0,0.9945,155,6000,89.44767,91.844795
136479,8,222.45,0,0.9945,156,6000,89.34315,91.41198
136480,8,256.34,0,0.9945,157,6000,88.89049,90.968605
136481,8,313.11,0,0.9945,158,6000,88.686,89.94235
136482,8,301.25,0,0.9945,157,6000,89.01188,90.45244
136483,8,241.59,0,0.9945,156,6000,89.238594,90.802124
136484,8,296.92,0,0.9945,156,6000,89.362724,90.5732
136485,8,268.4,0,0.9945,157,6000,88.8803,90.45303
136486,8,225.84,0,0.9945,159,6000,88.49353,90.19037
136487,8,247.57,0,0.9945,160,6000,88.04385,89.71391
136488,8,283.67,0,0.9946,162,6000,87.69846,89.60499
136489,8,341.25,0,0.9946,163,6000,87.34817,89.412506
136490,8,300.7,0,0.9946,164,6000,87.04495,88.806755
136491,8,343.61,0,0.9946,165,6000,86.87931,88.785324
136492,8,287.62,0,0.9946,165,6000,86.81091,88.84391
136493,8,228.79,0,0.9946,166,6000,86.71045,89.08097
136494,8,245.36,0,0.9946,165,6000,86.80772,89.25112
136495,8,247.63,0,0.9946,166,6000,86.58617,89.400154
136496,8,417.07,0,0.9946,168,6000,86.3022,88.92337
136497,8,420.73,0,0.9946,168,6000,86.2759,89.490295
136498,8,330.65,0,0.9946,166,6000,86.63568,89.98136
136499,8,392.24,0,0.9946,167,6000,86.38365,89.837776
136500,8,418.24,0,0.9946,168,6000,86.17732,89.52976
136501,8,420.3,0,0.9947,169,6000,86.0105,89.44327
136502,8,432.65,0,0.9947,170,6000,85.81049,88.88234
136503,8,422.59,0,0.9946,168,6000,86.20421,88.58349
136504,8,397.72,0,0.9946,168,6000,86.13445,88.50816
136505,8,440.95,0,0.9946,168,6000,86.132034,88.539505
136506,8,476.81,0,0.9947,171,6000,85.558266,88.450294
136507,8,419.84,0,0.9947,171,6000,85.54491,87.60755
136508,8,378.85,0,0.9947,171,6000,85.632835,87.501816
136509,8,339.82,0,0.9947,170,6000,85.815254,87.95987
136510,8,35.65,0,0.9947,169,6000,85.998985,88.1236
136511,8,73.25,0,0.9947,171,6000,85.59928,88.05034
136512,8,42.85,0,0.9947,173,6000,85.31771,87.92156
136513,8,282.02,0,0.9947,174,6000,85.10367,86.99345
136514,7,221.41,0,0.9947,176,6000,84.74494,86.73692
136515,7,90.96,0,0.9947,175,6000,84.857635,86.643364
136516,7,125.22,0,0.9947,175,6000,84.82126,86.45176
136517,7,91.24,0,0.9947,176,6000,84.66373,86.21288
136518,7,100.24,0,0.9947,177,6000,84.5331,85.998985
136519,7,68.01,0,0.9947,176,6000,84.67292,86.16397
136520,7,56.17,0,0.9947,180,6000,84.09985,85.990364
136521,7,445.53,0,0.9947,181,6000,83.99486,86.252365
136522,7,265.01,0,0.9947,180,6000,84.07297,86.512695
136523,7,94.13,0,0.9947,179,6000,84.28951,86.69015
136524,7,151.03,0,0.9947,177,6000,84.59052,86.684875
136525,8,233.05,0,0.9947,175,6000,84.90975,86.96764
136526,8,297.89,0,0.9947,173,6000,85.186935,87.09276
136527,8,292.0,0,0.9947,171,6000,85.704315,87.88711
136528,8,298.59,0,0.9947,169,6000,86.04356,88.03086
136529,8,198.74,0,0.9946,168,6000,86.342255,88.45634
136530,8,184.08,0,0.9946,166,6000,86.633965,88.641205
136531,8,363.64,0,0.9946,165,6000,86.846054,88.86359
136532,8,369.47,0,0.9946,163,6000,87.49286,88.727325
136533,8,390.4,0,0.9945,160,6000,88.205635,89.73646
136534,8,372.01,0,0.9945,159,6000,88.34074,89.55693
136535,8,340.81,0,0.9945,159,6000,88.55531,89.87418
136536,8,349.28,0,0.9945,158,6000,88.63618,89.86556
136537,8,336.62,0,0.9945,159,6000,88.42464,89.55608
136538,8,138.98,0,0.9945,160,6000,88.266846,89.61727
136539,8,258.31,0,0.9945,159,6000,88.46106,89.56197
136540,8,90.19,0,0.9945,158,6000,88.75359,90.01581
136541,8,62.29,0,0.9945,160,6000,88.20646,88.80823
136542,8,100.8,0,0.9945,160,6000,88.18433,88.984
136543,8,181.26,0,0.9945,160,6000,88.25225,89.086426
136544,8,284.4,0,0.9945,158,6000,88.65345,89.71216
136545,8,270.62,0,0.9945,157,6000,89.00394,89.89969
136546,7,386.51,0,0.9948,181,7000,89.322266,90.38588
136547,7,379.59,0,0.9948,180,7000,89.49643,90.24142
136548,7,204.89,0,0.9948,181,7000,89.31034,90.04671
136549,8,212.84,0,0.9945,156,6000,89.37804,90.04173
