up_reservoir_latitude,up_reservoir_longitude,low_reservoir_latitude,low_reservoir_longitude,capacity,capital_adder_per_mw
40.72113783,-116.8346017,40.70452833,-116.8700055,624.0615449,2152524.633
36.2219098,-112.622763,36.20252475,-112.6406816,1284.562133,2152830.529
41.78291745,-118.128539,41.75557934,-118.147763,956.4722944,2155636.038
34.89948681,-113.8949521,34.89025079,-113.9493841,1263.608419,2156336.768
35.1972589,-113.5473048,35.19221843,-113.5843339,1732.536281,2160219.854
37.24033615,-108.8106791,37.21615648,-108.870215,1356.445384,2163305.097
36.85560414,-109.1596356,36.88327706,-109.1710472,710.2299538,2164463.421
42.02414373,-110.5855453,42.03739708,-110.6145488,1344.106172,2165682.814
43.91874642,-106.8279588,43.92423494,-106.7907151,1303.983782,2165778.402
36.08906359,-113.0564166,36.10893044,-113.0752962,774.5624992,2165830.698
34.3588415,-115.887192,34.40309677,-115.8819017,1526.706438,2167768.783
46.14772232,-112.0578372,46.1595127,-112.0186433,1599.97848,2168189.63
37.4405348,-115.1072387,37.42773294,-115.1224151,864.3809359,2169868.903
43.92597613,-106.8355287,43.92950462,-106.7991018,910.1018824,2170432.528
36.97552897,-110.3741502,36.98431696,-110.3369648,1719.151559,2170512.187
36.10327504,-113.1143357,36.15174445,-113.1161858,2164.506408,2171848.495
38.40004467,-109.0148292,38.38811911,-108.9948502,848.6958028,2172322.284
36.13659788,-113.0515198,36.15454947,-113.0798908,934.4023509,2173306.183
38.32093873,-111.8888862,38.32221194,-111.9165675,828.4397624,2174214.116
40.3863877,-109.0393001,40.338067,-109.0516408,1759.55159,2176189.058
32.51111481,-106.4959518,32.48739344,-106.4569697,1927.229281,2176778.462
36.48506306,-110.0880799,36.48680966,-110.0641476,1178.333761,2179389.207
39.33593884,-111.1139193,39.33815154,-111.0535522,1406.940591,2181601.069
35.63547169,-113.8000253,35.62615031,-113.8648262,1447.320717,2182201.41
35.49791704,-113.7125778,35.48622157,-113.7519224,2562.046998,2182227.036
42.95166248,-116.6520845,42.94859245,-116.5939883,1179.435091,2183530.393
43.76113209,-111.3703485,43.77642863,-111.4303127,1636.079469,2187717.392
33.75807986,-106.3697451,33.79068467,-106.4124923,1245.716485,2187891.718
39.54940621,-109.9736705,39.57214155,-110.0240628,1014.6507,2189624.626
40.6558441,-117.1220749,40.65690594,-117.0556409,2847.26803,2192042.607
33.29791843,-105.7812973,33.26800116,-105.8183027,1180.440908,2193186.743
45.36097449,-112.8585656,45.36265048,-112.7908939,1778.834892,2193636.416
