sc_point_gid,class,capacity,capital_adder_per_mw,cf
170812,7,530.84,1003793.38,0.3385
170813,7,530.84,1008744.9,0.3382
170814,7,530.84,1015631.79,0.3372
170815,7,530.84,1023902.52,0.3369
170816,7,530.84,1035502.94,0.3365
170817,7,530.84,1046066.87,0.3361
170818,7,530.84,1056398.56,0.3356
170819,7,530.84,1065991.33,0.3351
170820,7,530.84,1077870.98,0.3344
170821,7,530.84,1092947.48,0.3337
170822,7,530.84,1108832.27,0.3333
170823,7,530.84,1133479.68,0.333
170824,7,530.84,1167680.76,0.3332
170825,7,530.84,1209843.59,0.3321
170826,7,496.72,1327343.76,0.3317
170827,7,505.47,1320391.95,0.3318
170828,7,206.65,2642149.07,0.3311
171475,2,16.07,1686028.9,0.3025
171476,2,221.45,498566.04,0.3071
171477,2,300.57,301748.41,0.3105
171478,2,472.04,270470.18,0.3106
171479,2,305.34,344330.95,0.31
171480,2,33.15,2031414.44,0.309
171482,2,200.62,1137658.34,0.3117
171483,2,485.61,519413.25,0.3113
171484,7,530.84,-386961.92,0.3124
171485,7,344.25,468982.28,0.3139
171493,7,198.19,2496704.91,0.3348
171494,7,530.84,1005232.43,0.3356
171495,7,530.84,1000329.79,0.3357
171496,7,530.84,1002566.61,0.3355
171497,7,530.84,1010592.44,0.3351
171498,7,530.84,1020063.44,0.3345
171499,7,530.84,1028450.95,0.3342
171500,7,530.84,1042200.94,0.3338
171501,7,530.84,1051818.28,0.3334
171502,7,530.84,1063886.46,0.3327
171503,7,530.84,1072455.95,0.3324
171504,7,530.84,1083157.93,0.332
171505,7,530.84,1097020.7,0.3316
171506,7,530.84,1114946.33,0.3314
171507,7,530.84,1142036.13,0.3311
171508,7,530.84,1181084.03,0.3306
171509,7,530.84,1227129.29,0.3299
171510,7,470.93,1348915.91,0.3295
171511,7,530.84,1238786.68,0.3294
171512,7,476.67,1438078.29,0.329
171513,7,30.13,5231418.62,0.3282
172160,2,187.86,820384.98,0.3043
172161,2,489.86,123053.6,0.3057
172162,2,226.02,519147.15,0.3053
172163,2,125.87,1744131.06,0.3066
172164,2,482.82,298626.45,0.3063
172165,2,193.3,1162286.31,0.3055
172167,2,34.99,2443910.62,0.3092
172168,7,309.39,-81878.49,0.3095
172169,7,483.05,372373.2,0.3106
172177,7,363.75,1246956.79,0.331
172178,7,530.84,1001767.31,0.332
172179,7,530.84,999131.03,0.3324
172180,7,530.84,1002251.92,0.3326
172181,7,530.84,1011889.0,0.3324
172182,7,530.84,1023970.79,0.332
172183,7,530.84,1037410.5,0.3316
172184,7,530.84,1049526.61,0.3316
172185,7,530.84,1061389.78,0.3312
172186,7,530.84,1071722.99,0.3303
172187,7,530.84,1079103.69,0.3296
172188,7,530.84,1088649.87,0.3297
172189,7,530.84,1101538.06,0.3295
172190,7,530.84,1120175.74,0.3291
172191,7,530.84,1150110.1,0.3286
172192,7,530.84,1195249.03,0.3282
172193,7,482.99,1358591.72,0.328
172194,7,515.03,1270679.52,0.3273
172195,7,447.44,1389535.56,0.3271
172196,7,405.52,1535560.63,0.327
172197,7,285.61,1796258.55,0.3267
172845,2,277.73,205647.87,0.3018
172846,2,530.84,101634.42,0.302
172847,2,390.19,274931.03,0.302
172848,2,530.84,243198.56,0.3024
172849,2,530.84,341060.83,0.3029
172850,2,399.95,496834.28,0.303
172851,2,89.36,2369165.39,0.3026
172853,7,104.49,3514142.66,0.3092
172854,7,43.25,3733479.53,0.3098
172860,7,20.09,4693716.99,0.3264
172861,7,509.2,1074858.97,0.3281
172862,7,530.84,1001727.04,0.3293
172863,7,530.84,998053.28,0.3299
172864,7,530.84,1005511.26,0.3301
172865,7,530.84,1017354.48,0.3298
172866,7,530.84,1030346.04,0.3294
172867,7,530.84,1046618.21,0.3293
