sc_point_gid,class,capacity,capital_adder_per_mw,cf
94808,9,530.84,-95028.46,0.4511
94809,9,530.84,-410785.57,0.4516
94810,9,530.84,-427932.65,0.45
94811,9,443.98,-367398.14,0.4475
94847,4,227.74,222525.73,0.4345
94848,4,492.42,-109008.55,0.4346
94849,4,211.57,363792.82,0.4342
94916,4,296.04,1396427.11,0.4856
94917,4,413.97,1360671.89,0.4898
94918,4,262.5,1511949.15,0.4941
94919,10,179.4,2591891.76,0.4978
94920,10,157.98,3495559.38,0.5006
94929,10,177.52,3194264.24,0.5143
94930,10,482.76,202152.27,0.5145
94931,10,530.84,105667.01,0.5152
94932,10,530.84,109529.95,0.5156
94933,10,530.84,124694.71,0.5162
94934,10,530.32,129249.02,0.5166
94935,10,460.18,243548.8,0.5169
94936,10,435.2,269454.64,0.5175
94937,10,423.4,292111.75,0.5182
94938,10,444.53,267755.41,0.5186
94939,10,508.74,380809.81,0.5192
94940,10,164.75,2921587.64,0.5193
94941,10,41.99,4706187.36,0.5197
95490,9,197.35,1949420.5,0.4435
95491,9,530.84,567785.49,0.4459
95492,9,530.84,589544.68,0.4481
95493,9,530.84,-437463.28,0.4488
95494,9,530.84,-435211.41,0.4471
95495,9,287.26,-228462.34,0.4451
95530,3,300.77,-25743.88,0.4322
95531,3,507.97,-126408.93,0.4318
95532,3,110.39,1345119.21,0.4318
95599,4,101.93,3444031.82,0.4816
95600,4,152.05,2937593.89,0.4873
95601,4,164.37,2841024.83,0.492
95602,4,267.85,1719183.82,0.4953
95603,10,199.0,2572418.42,0.4978
95604,10,104.85,4678575.78,0.5008
95614,10,37.26,4976563.83,0.514
95615,10,342.6,366279.75,0.5142
95616,10,395.8,356071.08,0.5144
95617,10,393.92,380418.76,0.5153
95618,10,435.88,327450.9,0.5156
95619,10,505.12,243227.83,0.5157
95620,10,530.84,189260.21,0.5165
95621,10,252.66,659436.49,0.5173
95622,10,444.75,692425.2,0.5176
95623,10,165.92,2939193.22,0.5181
96174,9,180.53,2242533.22,0.44
96175,9,530.84,539864.73,0.4427
96176,9,530.84,558079.86,0.4448
96177,9,530.84,-462212.64,0.4454
96178,9,511.01,-403271.07,0.4444
96179,9,49.77,2334649.08,0.4435
96212,3,28.38,1362321.51,0.4291
96213,3,370.46,-85627.23,0.429
96214,3,526.47,-173349.06,0.4281
96215,3,167.51,776116.44,0.428
96281,4,116.58,3261397.84,0.4753
