sc_point_gid,class,capacity,capital_adder_per_mw,cf,FIPS,dist_spur_km,dist_reinforcement_km,cost_spur_usd_per_mw,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,cost_total_trans_usd_per_mw,region,supply_curve_cost_per_mw
152,4,14.622000000000002,0.0,0.4019512,p99055,10.295599906332004,0.0,37753.87,0.0,0.0,37753.87,pr233,37753.87
153,4,28.921800000000005,0.0,0.36861038,p99055,2.25411822154616,0.0,8265.831,0.0,0.0,8265.831,pr233,8265.831
157,7,10.2819,0.0,0.46269295,p99031,1.97844259047683,0.0,7254.931,0.0,0.0,7254.931,pr101,7254.931
158,8,17.5077,0.0,0.46949166,p99031,6.668829921191311,0.0,24454.54,0.0,0.0,24454.54,pr101,24454.54
163,6,31.7964,0.0,0.42746663,p99037,10.1708640250544,0.0,37296.465,0.0,0.0,37296.465,pr116,37296.465
164,7,21.2298,0.0,0.44832638,p99043,8.406064066346628,0.0,30824.96,0.0,0.0,30824.96,pr169,30824.96
165,7,16.2021,0.0,0.468973,p99043,4.066431302549014,0.0,14911.566,0.0,0.0,14911.566,pr169,14911.566
166,9,12.1353,0.0,0.48936018,p99010,8.584981076941368,0.0,31481.047,0.0,0.0,31481.047,pr23,31481.047
167,9,22.7823,0.0,0.4917117,p99028,10.66951304287993,0.0,39125.008,0.0,0.0,39125.008,pr96,39125.008
168,10,15.9114,0.0,0.5184898,p99028,4.4281727825813455,0.0,16238.069,0.0,0.0,16238.069,pr96,16238.069
169,6,20.0967,0.0,0.4381908,p99028,7.638372335821303,0.0,28009.842,0.0,0.0,28009.842,pr96,28009.842
170,5,15.6021,0.0,0.41245732,p99075,4.337299411427906,0.0,15904.838,0.0,0.0,15904.838,pr363,15904.838
171,5,17.8992,0.0,0.41869816,p99098,2.5536718790009294,0.0,9364.292,0.0,0.0,9364.292,pr1078,9364.292
172,7,28.8855,0.0,0.4570022,p99099,9.068687903354547,0.0,33254.797,0.0,0.0,33254.797,pr1079,33254.797
173,7,24.362700000000004,0.0,0.4532265,p99065,2.571614880754588,0.0,9430.088,0.0,0.0,9430.088,pr296,9430.088
174,8,35.9373,0.0,0.48810604,p99065,6.827336310714162,0.0,25035.78,0.0,0.0,25035.78,pr296,25035.78
175,9,31.831200000000003,0.0,0.5018965,p99034,9.738652714142187,0.0,35711.55,0.0,0.0,35711.55,pr106,35711.55
176,10,8.712000000000002,0.0,0.65420955,p99069,10.250726071103458,0.0,37589.32,0.0,0.0,37589.32,pr321,37589.32
177,10,7.3503,0.0,0.56149083,p99069,12.863630353866856,0.0,47170.816,0.0,0.0,47170.816,pr321,47170.816
179,5,5.1528,0.0,0.41567814,p99046,3.5738825096429045,0.0,13105.395,0.0,0.0,13105.395,pr184,13105.395
180,4,10.5903,0.0,0.37224975,p99094,0.7376788404363412,0.0,2705.0615,0.0,0.0,2705.0615,pr1025,2705.0615
193,9,6.920100000000001,0.0,0.50582075,p99010,2.898854497164628,0.0,10630.073,0.0,0.0,10630.073,pr23,10630.073
201,6,16.064700000000002,0.0,0.44754177,p99034,8.318904159073666,0.0,30505.346,0.0,0.0,30505.346,pr106,30505.346
202,9,13.3032,0.0,0.51233065,p99034,1.54833663388789,0.0,5677.7363,0.0,0.0,5677.7363,pr106,5677.7363
203,10,23.3406,0.0,0.628837,p99069,2.1089699412214866,0.0,7733.5737,0.0,0.0,7733.5737,pr321,7733.5737
204,10,7.3239,0.0,0.5754958,p99069,8.048486383688319,0.0,29513.727,0.0,0.0,29513.727,pr321,29513.727
