source_id,source_kind,tech,region,capacity_mw,start_year,energy_mwh
PR100_DPV_2022_pr275,pr100_distributed_pv_2022,dupv,pr275,0.711428983,2009,
PR100_DPV_2022_pr280,pr100_distributed_pv_2022,dupv,pr280,0.676851964104839,2009,
PR100_DPV_2022_pr296,pr100_distributed_pv_2022,dupv,pr296,8.2555127756,2009,
PR100_DPV_2022_pr313,pr100_distributed_pv_2022,dupv,pr313,18.478466502235293,2009,
PR100_DPV_2022_pr321,pr100_distributed_pv_2022,dupv,pr321,0.5021863855454546,2009,
PR100_DPV_2022_pr335,pr100_distributed_pv_2022,dupv,pr335,3.5668750003125,2009,
PR100_DPV_2022_pr352,pr100_distributed_pv_2022,dupv,pr352,0.788432412125,2009,
PR100_DPV_2022_pr353,pr100_distributed_pv_2022,dupv,pr353,1.3888072614999998,2009,
PR100_DPV_2022_pr378,pr100_distributed_pv_2022,dupv,pr378,10.26316470632026,2009,
PR100_DPV_2022_pr392,pr100_distributed_pv_2022,dupv,pr392,7.445371605153228,2009,
PR100_DPV_2022_pr428,pr100_distributed_pv_2022,dupv,pr428,0.4836477584347826,2009,
PR100_DPV_2022_pr440,pr100_distributed_pv_2022,dupv,pr440,1.07006250009375,2009,
PR100_DPV_2022_pr442,pr100_distributed_pv_2022,dupv,pr442,0.8248294516470587,2009,
PR100_DPV_2022_pr452,pr100_distributed_pv_2022,dupv,pr452,0.8248294516470587,2009,
PR100_DPV_2022_pr492,pr100_distributed_pv_2022,dupv,pr492,0.8653529413529412,2009,
PR100_DPV_2022_pr583,pr100_distributed_pv_2022,dupv,pr583,0.5457467791612903,2009,
PR100_DPV_2022_pr632,pr100_distributed_pv_2022,dupv,pr632,3.3842598205241954,2009,
PR100_DPV_2022_pr902,pr100_distributed_pv_2022,dupv,pr902,0.35668750003125,2009,
PR100_DPV_2022_pr1206,pr100_distributed_pv_2022,dupv,pr1206,2.195272418285714,2009,
PR100_DPV_2022_pr97047,pr100_distributed_pv_2022,dupv,pr97047,0.4900384615384619,2009,
PR100_DST_2022_pr2,pr100_distributed_storage_2022,battery_li,pr2,9.347982701355182,2009,37.39193080694762
PR100_DST_2022_pr3,pr100_distributed_storage_2022,battery_li,pr3,10.814635761039217,2009,43.25854304233334
PR100_DST_2022_pr5,pr100_distributed_storage_2022,battery_li,pr5,0.1251963461538462,2009,0.500785384615385
PR100_DST_2022_pr8,pr100_distributed_storage_2022,battery_li,pr8,9.752934016800909,2009,39.01173606983091
PR100_DST_2022_pr10,pr100_distributed_storage_2022,battery_li,pr10,14.90330749933333,2009,59.61323000558333
PR100_DST_2022_pr14,pr100_distributed_storage_2022,battery_li,pr14,3.732577493205128,2009,14.930308967153849
PR100_DST_2022_pr16,pr100_distributed_storage_2022,battery_li,pr16,1.497667223,2009,5.9906688930000005
PR100_DST_2022_pr18,pr100_distributed_storage_2022,battery_li,pr18,1.8090596354,2009,7.2362385412
PR100_DST_2022_pr21,pr100_distributed_storage_2022,battery_li,pr21,13.479082598145162,2009,53.91657760646774
PR100_DST_2022_pr23,pr100_distributed_storage_2022,battery_li,pr23,0.26936625,2009,1.0774650005
PR100_DST_2022_pr29,pr100_distributed_storage_2022,battery_li,pr29,1.478812552188406,2009,5.915250119011595
PR100_DST_2022_pr32,pr100_distributed_storage_2022,battery_li,pr32,3.4922755773625,2009,13.9691023079375
PR100_DST_2022_pr35,pr100_distributed_storage_2022,battery_li,pr35,1.7671521790416669,2009,7.068608720566667
PR100_DST_2022_pr38,pr100_distributed_storage_2022,battery_li,pr38,0.7800244270833333,2009,3.120097710177084
PR100_DST_2022_pr40,pr100_distributed_storage_2022,battery_li,pr40,1.7145517187500003,2009,6.858206872968751
PR100_DST_2022_pr41,pr100_distributed_storage_2022,battery_li,pr41,15.05648388775,2009,60.22593555150001
PR100_DST_2022_pr45,pr100_distributed_storage_2022,battery_li,pr45,9.366769131069177,2009,37.46707653099304
PR100_DST_2022_pr50,pr100_distributed_storage_2022,battery_li,pr50,4.225505773999444,2009,16.90202309693882
PR100_DST_2022_pr63,pr100_distributed_storage_2022,battery_li,pr63,1.9689193430174683,2009,7.875677366594177
PR100_DST_2022_pr82,pr100_distributed_storage_2022,battery_li,pr82,7.906918927799282,2009,31.627675704512544
PR100_DST_2022_pr83,pr100_distributed_storage_2022,battery_li,pr83,0.64418875,2009,2.5767550005
PR100_DST_2022_pr84,pr100_distributed_storage_2022,battery_li,pr84,9.38001604905645,2009,37.52006419687097
PR100_DST_2022_pr85,pr100_distributed_storage_2022,battery_li,pr85,14.51727073191129,2009,58.069082925120966
PR100_DST_2022_pr86,pr100_distributed_storage_2022,battery_li,pr86,2.5381679869354845,2009,10.152671948903228
PR100_DST_2022_pr87,pr100_distributed_storage_2022,battery_li,pr87,13.419644110527503,2009,53.67857644466194
PR100_DST_2022_pr88,pr100_distributed_storage_2022,battery_li,pr88,0.8460559956451617,2009,3.384223982967743
PR100_DST_2022_pr93,pr100_distributed_storage_2022,battery_li,pr93,10.369675065455883,2009,41.47870025476471
PR100_DST_2022_pr96,pr100_distributed_storage_2022,battery_li,pr96,0.2030376833142857,2009,0.8121507330285715
PR100_DST_2022_pr100,pr100_distributed_storage_2022,battery_li,pr100,3.468618058054166,2009,13.874472231729168
PR100_DST_2022_pr101,pr100_distributed_storage_2022,battery_li,pr101,0.516980807156,2009,2.06792441822
