municipality_key,year,pv_mw,storage_mw,storage_mwh
cabo rojo,2035,14.4698597035,5.804885390000001,23.2195415605
cabo rojo,2040,17.104616233999998,7.929378491,31.717513963000002
cabo rojo,2045,25.461683774,10.422192178500001,41.6887687225
cabo rojo,2050,32.262511336,12.435651886,49.742607553
caguas,2022,38.521650323,9.479860525,37.919442096000004
caguas,2025,43.3902124155,12.520113563,50.080454263
caguas,2028,49.066747693,13.863964917999999,55.455859661
caguas,2030,52.411440035,15.544175284,62.17670116
caguas,2035,58.314728496499995,21.289059489,85.1562379585
caguas,2040,64.850719526,29.968104869,119.87241943800001
caguas,2045,85.5819399015,39.8765967545,159.5063869965
caguas,2050,102.452625033,47.816856873000006,191.26742748
camuy,2022,0.0,1.07254,4.29016
camuy,2025,4.2835987585,1.6412433535000002,6.564973416000001
camuy,2028,5.471045239,1.8391833290000001,7.356733314
camuy,2030,6.170704972,2.030489973,8.121959895
camuy,2035,7.405584833500001,2.7329996745,10.9319986975
camuy,2040,8.772816633,3.920754578,15.683018312
camuy,2045,13.109478611,5.317559652,21.270238609499998
camuy,2050,16.638574201,6.446482303,25.785929212
canovanas,2022,6.338794541,2.792767671,11.171070685
canovanas,2025,13.42798656,3.0340467895,12.136187154
canovanas,2028,14.433360128,3.399104946,13.596419784
canovanas,2030,16.179340353999997,3.8004769410000003,15.20190777
canovanas,2035,19.804272523999998,5.2202670785,20.8810683125
canovanas,2040,21.2069517,7.489131392,29.956525567
canovanas,2045,25.2198881575,10.119380298,40.477521192
canovanas,2050,28.336952986,12.236543665,48.946174646
carolina,2022,16.918150154,19.995859471,79.983437877
carolina,2025,35.282106580000004,22.5692641315,90.277056511
carolina,2028,45.062577561,24.027193341,96.108773375
carolina,2030,50.825365020999996,25.925082699,103.700330797
carolina,2035,60.996523753,32.3495782695,129.3983130915
carolina,2040,72.257806801,41.886423064,167.54569222199999
carolina,2045,107.97697161599999,52.719726339000005,210.87890534550002
carolina,2050,137.04456967800002,61.388294013,245.553176108
catano,2022,0.0,1.185680002,4.74272
catano,2025,5.6116853495,2.2473459985,8.989383994499999
catano,2028,7.167287634,2.587857822,10.351431286
catano,2030,8.083869812,3.044119249,12.176476995
catano,2035,9.7016117195,4.5778450685,18.311380274999998
catano,2040,11.49273995,6.8262134979999995,27.304853987
catano,2045,17.173940232,9.370913708,37.483654830000006
catano,2050,21.797196328,11.404927368,45.619709471
cayey,2022,8.866,12.852265,51.409060000000004
cayey,2025,11.017785706000002,12.9095756595,51.638302643
cayey,2028,12.679600216,12.982175917000001,51.928703657
cayey,2030,13.658764089,13.063069175,52.252276703
cayey,2035,15.386960947999999,13.3481667585,53.392667032000006
cayey,2040,17.300382455,13.801110576,55.204442295999996
cayey,2045,23.369479385,14.325390923,57.301563688
cayey,2050,28.308398628,14.747212391,58.988849571
ceiba,2022,0.0,0.479823177,1.919292706
ceiba,2025,2.1231520355,0.8150877175000001,3.2603508695
ceiba,2028,2.7117060879999997,0.914540919,3.658163678
ceiba,2030,3.058490198,1.012767315,4.051069264
ceiba,2035,3.6705544545,1.3711233754999999,5.4844934975
ceiba,2040,4.348218527,1.9712972789999998,7.885189119
ceiba,2045,6.497671174500001,2.6754583469999997,10.7018333905
ceiba,2050,8.246856128,3.244198551,12.976794206
ciales,2022,0.0,0.469461888,1.8778475510000001
ciales,2025,1.995528871,0.772898466,3.091593863
ciales,2028,2.548704804,0.872056225,3.488224897
ciales,2030,2.87464364,0.978769437,3.915077754
ciales,2035,3.449916573,1.358512249,5.4340489970000005
ciales,2040,4.0868461,1.971062395,7.884249581
ciales,2045,6.107094647,2.6829213445,10.7316853775
ciales,2050,7.751135689,3.2563200070000002,13.02528002
cidra,2022,2.058376585,1.817795792,7.271183172
cidra,2025,5.580479948,2.2975990360000003,9.190396148
cidra,2028,7.127431857,2.5812714750000003,10.325085899000001
