municipality,municipality_key,region,weight,weight_method,active_load_capacity_mw,mapped_bus_count
Ponce,ponce,pr103,0.19607843137254902,active_standard_load_capacity,27.46671241176471,16
Ponce,ponce,pr1077,0.0,active_standard_load_capacity,0.0,1
Ponce,ponce,pr1078,0.0,active_standard_load_capacity,0.0,1
Ponce,ponce,pr1802,0.0,active_standard_load_capacity,0.0,1
Ponce,ponce,pr2,0.019607843137254895,active_standard_load_capacity,2.7466712411764704,1
Ponce,ponce,pr3,0.607843137254902,active_standard_load_capacity,85.14680847647061,45
Ponce,ponce,pr313,0.1764705882352941,active_standard_load_capacity,24.72004117058824,20
Ponce,ponce,pr363,0.0,active_standard_load_capacity,0.0,1
Quebradillas,quebradillas,pr100,1.0,active_standard_load_capacity,11.53032519,14
Rincón,rincon,pr231,0.6666666666666667,active_standard_load_capacity,6.876861893333333,4
Rincón,rincon,pr32,0.33333333333333337,active_standard_load_capacity,3.4384309466666667,2
Río Grande,rio grande,pr211,0.5555555555555556,active_standard_load_capacity,19.008371266666664,6
Río Grande,rio grande,pr82,0.4444444444444444,active_standard_load_capacity,15.206697013333331,5
Sabana Grande,sabana grande,pr169,0.8,active_standard_load_capacity,9.864669776,4
Sabana Grande,sabana grande,pr2,0.2,active_standard_load_capacity,2.466167444,2
Salinas,salinas,pr106,0.6000000000000001,active_standard_load_capacity,10.456165104,14
Salinas,salinas,pr107,0.0,active_standard_load_capacity,0.0,6
Salinas,salinas,pr296,0.10000000000000002,active_standard_load_capacity,1.742694184,3
Salinas,salinas,pr8,0.30000000000000004,active_standard_load_capacity,5.228082552,19
Salinas,salinas,pr97014,0.0,active_standard_load_capacity,0.0,1
San Germán,san german,pr116,0.0,active_standard_load_capacity,0.0,1
San Germán,san german,pr169,0.9333333333333333,active_standard_load_capacity,19.772587986666668,17
San Germán,san german,pr29,0.06666666666666667,active_standard_load_capacity,1.4123277133333334,1
San Germán,san german,pr97094,0.0,active_standard_load_capacity,0.0,1
San Juan,san juan,pr1102,0.0,active_standard_load_capacity,0.0,1
San Juan,san juan,pr1103,0.0,active_standard_load_capacity,0.0,1
San Juan,san juan,pr1105,0.0,active_standard_load_capacity,0.0,1
San Juan,san juan,pr127,0.008064516129032261,active_standard_load_capacity,4.2455050137096775,1
San Juan,san juan,pr21,0.032258064516129045,active_standard_load_capacity,16.98202005483871,4
San Juan,san juan,pr280,0.008064516129032261,active_standard_load_capacity,4.2455050137096775,1
San Juan,san juan,pr392,0.08870967741935486,active_standard_load_capacity,46.700555150806444,19
San Juan,san juan,pr50,0.11290322580645162,active_standard_load_capacity,59.43707019193547,20
San Juan,san juan,pr632,0.04032258064516131,active_standard_load_capacity,21.22752506854839,7
San Juan,san juan,pr84,0.18548387096774194,active_standard_load_capacity,97.64661531532255,30
San Juan,san juan,pr85,0.024193548387096784,active_standard_load_capacity,12.736515041129032,4
San Juan,san juan,pr86,0.09677419354838712,active_standard_load_capacity,50.94606016451612,15
San Juan,san juan,pr87,0.3709677419354838,active_standard_load_capacity,195.29323063064507,58
San Juan,san juan,pr88,0.032258064516129045,active_standard_load_capacity,16.98202005483871,8
San Lorenzo,san lorenzo,pr234,1.0,active_standard_load_capacity,20.42637687,9
San Sebastián,san sebastian,pr35,1.0,active_standard_load_capacity,20.28577057,10
Santa Isabel,santa isabel,pr1800,0.0,active_standard_load_capacity,0.0,1
Santa Isabel,santa isabel,pr296,1.0,active_standard_load_capacity,19.4844365,12
Santa Isabel,santa isabel,pr3,0.0,active_standard_load_capacity,0.0,1
Santa Isabel,santa isabel,pr313,0.0,active_standard_load_capacity,0.0,1
Santa Isabel,santa isabel,pr7000,0.0,active_standard_load_capacity,0.0,1
Santa Isabel,santa isabel,pr7200,0.0,active_standard_load_capacity,0.0,4
Santa Isabel,santa isabel,pr8,0.0,active_standard_load_capacity,0.0,1
Toa Alta,toa alta,pr310,0.25,active_standard_load_capacity,10.5362312975,1
Toa Alta,toa alta,pr93,0.75,active_standard_load_capacity,31.6086938925,4
Toa Baja,toa baja,pr378,0.29411764705882354,active_standard_load_capacity,15.648658997058824,8
Toa Baja,toa baja,pr492,0.058823529411764705,active_standard_load_capacity,3.129731799411765,1
Toa Baja,toa baja,pr63,0.11764705882352941,active_standard_load_capacity,6.25946359882353,10
Toa Baja,toa baja,pr93,0.5294117647058824,active_standard_load_capacity,28.167586194705883,11
Trujillo Alto,trujillo alto,pr175,0.125,active_standard_load_capacity,5.96920140125,1
Trujillo Alto,trujillo alto,pr281,0.125,active_standard_load_capacity,5.96920140125,1
Trujillo Alto,trujillo alto,pr480,0.125,active_standard_load_capacity,5.96920140125,1
Trujillo Alto,trujillo alto,pr85,0.625,active_standard_load_capacity,29.84600700625,8
Utuado,utuado,pr290,0.0,active_standard_load_capacity,0.0,1
Utuado,utuado,pr38,1.0,active_standard_load_capacity,13.699286489999999,10
Vega Alta,vega alta,pr41,0.7499999999999999,active_standard_load_capacity,17.5536101025,6
Vega Alta,vega alta,pr93,0.25,active_standard_load_capacity,5.8512033675,5
Vega Baja,vega baja,pr153,0.0,active_standard_load_capacity,0.0,3
Vega Baja,vega baja,pr41,1.0,active_standard_load_capacity,41.777192039999996,15
Vega Baja,vega baja,pr93,0.0,active_standard_load_capacity,0.0,1
Vega Baja,vega baja,pr97064,0.0,active_standard_load_capacity,0.0,1
Vieques,vieques,pr101,1.0,active_standard_load_capacity,5.539579568000001,7
Villalba,villalba,pr1079,0.0,active_standard_load_capacity,0.0,1
Villalba,villalba,pr213,1.0,active_standard_load_capacity,13.01411269,8
Yabucoa,yabucoa,pr1025,0.16666666666666666,active_standard_load_capacity,2.4504860216666664,1
Yabucoa,yabucoa,pr14,0.6666666666666666,active_standard_load_capacity,9.801944086666666,5
Yabucoa,yabucoa,pr185,0.16666666666666666,active_standard_load_capacity,2.4504860216666664,1
Yauco,yauco,pr169,0.0,active_standard_load_capacity,0.0,1
Yauco,yauco,pr2,1.0,active_standard_load_capacity,23.87157782,10
