i,country,t_start_construction,safe_harbor,t_max_online,ptc_value,ptc_perc_bonus,ptc_dur,ptc_tax_equity_penalty,itc_frac,itc_energy_comm_bonus,itc_percpt_domestic_bonus,itc_tax_equity_penalty,co2_capture_value,co2_capture_dur,co2_capture_tax_equity_penalty,h2_ptc_value,h2_ptc_dur,h2_ptc_tax_equity_penalty
OFSWIND,usa,2034,0,2034,0.0,0.0,0,0.0,0.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2035,0,2035,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2036,0,2036,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2037,0,2037,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2038,0,2038,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2039,0,2039,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2040,0,2040,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2041,0,2041,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2042,0,2042,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2043,0,2043,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2044,0,2044,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2045,0,2045,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2046,0,2046,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2047,0,2047,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2048,0,2048,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2049,0,2049,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2050,0,2050,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2010,0,2010,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2011,0,2011,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2012,0,2012,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2013,0,2013,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2014,0,2014,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2015,0,2015,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2016,0,2016,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2017,0,2017,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
BATTERY,usa,2018,0,2018,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
