tech,sc_point_gid,region,class,capacity,capital_adder_per_mw,cost_total_trans_usd_per_mw,supply_curve_cost_per_mw,cf,latitude,longitude,poi_bus,poi_name,poi_kv,poi_distance_km,mapping_method,class_method,source_country,cost_dollar_year,cost_basis,source_capex_usd_per_kw,source_opex_usd_per_kw_year,source_fixed_charge_rate,source_lcoe_usd_per_mwh,source_total_lcoe_usd_per_mwh,cost_source,pr100_exclusions_applied,pr100_exclusions_config,additional_geographic_screen
wind-ons,110,pr232,4,11.1264,0.0,32972.996,32972.996,0.40630844,18.187,-67.08,232,MAYATC230,230.0,8.991840700772736,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2647.796613585125,36.35710166218738,0.0759,67.12629185530672,67.93015470631964,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,116,pr266,8,9.2784,0.0,13103.155,13103.155,0.482079,18.188,-66.617,266,JAYUYA,115.0,3.573271775389959,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.648667189133,36.35710166218738,0.0759,57.99676239528604,58.266000823273274,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,119,pr353,10,9.9177,0.0,25607.053,25607.053,0.55241513,18.188,-66.385,353,BARRANQT115,115.0,6.983123948207683,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.648667189133,36.35710166218738,0.0759,49.54066935501645,49.999839251522246,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,120,pr353,8,12.1896,0.0,4286.5635,4286.5635,0.48211125,18.188,-66.308,353,BARRANQT115,115.0,1.1689594411427853,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2630.9465927059437,36.35710166218738,0.0759,57.79258990362181,57.88066262052024,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,121,pr275,1,10.3023,0.0,9015.873,9015.873,0.29484287,18.188,-66.23,275,COMERIO115,115.0,2.4586570484464625,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2660.8576381809726,36.35710166218738,0.0759,94.34381314067991,94.6467112281333,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,122,pr451,6,19.6443,0.0,30419.861,30419.861,0.42213213,18.187,-66.153,451,AGUBUENAS230,230.0,8.295592337788758,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2512.8002932891054,36.35709894016041,0.0759,62.10742705208795,62.821246210685345,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,123,pr451,1,19.1703,0.0,26989.559,26989.559,0.31152633,18.187,-66.076,451,AGUBUENAS230,230.0,7.360138144405599,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2520.312525912884,36.35709894016041,0.0759,90.16857842261932,91.0267624147137,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,124,pr21,1,23.1531,0.0,25839.61,25839.61,0.2767785,18.187,-65.999,21,CAGUAS115,115.0,7.046542927702906,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2457.190753562707,36.35709894016041,0.0759,93.24944973862472,94.17421813369752,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,125,pr234,2,35.1906,0.0,16336.08,16336.08,0.3401095,18.187,-65.921,234,JUNCOS115,115.0,4.454900699753554,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2266.4133269620133,36.35709349610647,0.0759,71.39230123567573,71.86808372942262,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,126,pr233,4,19.0347,0.0,33691.95,33691.95,0.39912176,18.187,-65.844,233,YABUCOA230,230.0,9.187901292047808,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2522.4614036098164,36.35709894016041,0.0759,65.95124988546655,66.7874305127774,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
