tech,sc_point_gid,region,class,capacity_mw
upv,1070,pr116,1,8.505
upv,1099,pr353,1,31.374
upv,1100,pr353,1,20.489
upv,1102,pr10,1,16.625
upv,1104,pr10,2,8.589
upv,1105,pr10,2,15.813
upv,1106,pr10,3,21.049000000000003
upv,1107,pr451,3,11.606
upv,1108,pr451,2,5.215
upv,1111,pr234,1,23.569
upv,1112,pr233,3,31.22
upv,1115,pr233,2,7.140000000000001
upv,1116,pr233,3,17.150000000000002
upv,1118,pr233,4,8.372000000000002
upv,1128,pr101,5,13.706
upv,1129,pr101,5,69.006
upv,1130,pr101,5,6.58
upv,1131,pr101,5,6.195
upv,1143,pr116,2,44.506
upv,1144,pr116,1,68.32700000000001
upv,1147,pr116,1,11.746
upv,1148,pr169,1,34.209
upv,1167,pr1079,1,9.436
upv,1168,pr213,1,9.884000000000002
upv,1173,pr353,1,10.43
upv,1174,pr353,1,10.906
upv,1175,pr353,1,39.2
upv,1176,pr353,1,13.643
upv,1177,pr10,2,12.145
upv,1187,pr233,1,5.222
upv,1192,pr233,3,10.115000000000002
upv,1193,pr233,3,31.192
upv,1203,pr101,3,10.57
upv,1204,pr101,4,57.96000000000001
upv,1205,pr101,5,166.607
upv,1206,pr101,5,60.354000000000006
upv,1219,pr116,2,108.059
upv,1220,pr116,1,21.805
upv,1221,pr116,1,77.41300000000001
upv,1222,pr116,1,36.281
upv,1223,pr169,1,5.180000000000001
upv,1225,pr169,1,21.035
upv,1226,pr169,1,9.821
upv,1227,pr169,1,17.017
upv,1231,pr96,1,7.763
upv,1233,pr96,1,18.536
upv,1241,pr1802,1,10.024
upv,1242,pr313,1,6.713
upv,1247,pr296,1,6.727
upv,1248,pr296,1,12.215000000000002
upv,1249,pr296,1,40.894000000000005
upv,1250,pr296,1,6.251
upv,1251,pr296,2,10.556
upv,1266,pr233,1,28.392
upv,1267,pr233,3,76.86
upv,1268,pr233,4,48.923
upv,1269,pr233,5,54.992
upv,1280,pr101,5,35.427
upv,1294,pr116,3,53.284
upv,1295,pr116,3,67.62
upv,1296,pr116,1,56.658
upv,1297,pr116,2,37.142
upv,1298,pr116,2,11.291
upv,1299,pr169,2,21.847
upv,1300,pr169,2,73.227
upv,1301,pr169,1,36.715
upv,1302,pr169,2,62.09
upv,1303,pr169,2,29.666
upv,1304,pr169,2,17.304
upv,1307,pr96,2,40.691
upv,1308,pr96,1,8.134
upv,1309,pr96,1,22.652
upv,1310,pr96,1,34.027
upv,1312,pr96,1,12.215000000000002
upv,1314,pr363,1,23.604
upv,1317,pr1802,1,17.325000000000003
upv,1318,pr313,1,19.943
upv,1319,pr1078,1,13.069
upv,1320,pr1079,1,34.006
upv,1321,pr1079,1,10.738
upv,1323,pr296,2,31.668000000000003
upv,1324,pr296,2,42.847
upv,1325,pr296,2,33.572
upv,1326,pr296,2,6.853
upv,1327,pr296,2,9.709
upv,1329,pr106,2,7.63
upv,1336,pr334,1,16.016000000000002
upv,1343,pr233,3,10.913
upv,1346,pr233,3,12.733
upv,1371,pr116,3,67.34700000000001
upv,1372,pr116,2,63.252
upv,1373,pr116,2,78.316
upv,1374,pr169,2,58.373000000000005
upv,1375,pr169,2,50.589
upv,1376,pr169,2,13.069
upv,1378,pr169,2,15.967
upv,1379,pr169,2,12.705000000000002
upv,1380,pr23,2,15.176000000000002
upv,1382,pr23,2,47.733
upv,1383,pr96,2,19.453000000000003
upv,1384,pr96,2,38.367
upv,1385,pr96,1,8.855
upv,1386,pr96,1,9.457
upv,1387,pr96,1,5.362
upv,1389,pr96,2,9.492
upv,1390,pr363,1,8.183
upv,1391,pr363,1,6.279
upv,1392,pr363,1,12.355
upv,1395,pr1078,1,7.966000000000001
upv,1396,pr1078,1,38.423
upv,1397,pr1079,2,115.024
upv,1398,pr1800,2,75.11
upv,1399,pr296,2,19.166
upv,1401,pr296,3,87.066
