i,t,capcost,fom,vom,heatrate
Gas-CC_H_1x1-CCS_mod,2048,1589.8,43.4,3.44,6.506
Gas-CC_H_1x1-CCS_mod,2049,1545.1,42.3,3.38,6.506
Gas-CC_H_1x1-CCS_mod,2050,1500.3,41.2,3.33,6.506
Gas-CC_H_1x1-CCS_mod,2051,1488.7,40.9,3.31,6.506
Gas-CC_H_1x1-CCS_mod,2052,1477.2,40.6,3.29,6.506
Gas-CC_H_1x1-CCS_mod,2053,1465.6,40.3,3.28,6.506
Gas-CC_H_1x1-CCS_mod,2054,1454.0,40.0,3.26,6.506
Gas-CC_H_1x1-CCS_mod,2055,1442.4,39.8,3.24,6.506
Gas-CC_H_1x1-CCS_mod,2056,1430.8,39.5,3.23,6.506
Gas-CC_H_1x1-CCS_mod,2057,1419.2,39.2,3.21,6.506
Gas-CC_H_1x1-CCS_mod,2058,1407.6,38.9,3.19,6.506
Gas-CC_H_1x1-CCS_mod,2059,1396.0,38.6,3.17,6.506
Gas-CC_H_1x1-CCS_mod,2060,1384.4,38.3,3.16,6.506
Gas-CC_H_2x1-CCS_mod,2010,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2011,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2012,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2013,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2014,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2015,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2016,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2017,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2018,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2019,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2020,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2021,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2022,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2023,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2024,2506.6,65.0,4.9,6.857
Gas-CC_H_2x1-CCS_mod,2025,2430.7,63.1,4.78,6.822
Gas-CC_H_2x1-CCS_mod,2026,2354.9,61.2,4.65,6.787
Gas-CC_H_2x1-CCS_mod,2027,2279.1,59.2,4.53,6.753
Gas-CC_H_2x1-CCS_mod,2028,2203.3,57.3,4.4,6.718
Gas-CC_H_2x1-CCS_mod,2029,2127.4,55.4,4.28,6.683
Gas-CC_H_2x1-CCS_mod,2030,2051.6,53.5,4.15,6.648
Gas-CC_H_2x1-CCS_mod,2031,1975.8,51.6,4.03,6.613
Gas-CC_H_2x1-CCS_mod,2032,1900.0,49.6,3.9,6.578
Gas-CC_H_2x1-CCS_mod,2033,1824.1,47.7,3.78,6.544
Gas-CC_H_2x1-CCS_mod,2034,1748.3,45.8,3.65,6.509
Gas-CC_H_2x1-CCS_mod,2035,1672.5,43.9,3.53,6.474
Gas-CC_H_2x1-CCS_mod,2036,1638.1,43.0,3.48,6.474
Gas-CC_H_2x1-CCS_mod,2037,1603.7,42.2,3.44,6.474
Gas-CC_H_2x1-CCS_mod,2038,1569.2,41.3,3.39,6.474
Gas-CC_H_2x1-CCS_mod,2039,1534.8,40.5,3.35,6.474
Gas-CC_H_2x1-CCS_mod,2040,1500.4,39.7,3.31,6.474
Gas-CC_H_2x1-CCS_mod,2041,1466.0,38.8,3.26,6.474
Gas-CC_H_2x1-CCS_mod,2042,1431.6,38.0,3.22,6.474
Gas-CC_H_2x1-CCS_mod,2043,1397.1,37.1,3.18,6.474
Gas-CC_H_2x1-CCS_mod,2044,1362.7,36.3,3.13,6.474
Gas-CC_H_2x1-CCS_mod,2045,1328.3,35.5,3.09,6.474
Gas-CC_H_2x1-CCS_mod,2046,1293.9,34.6,3.05,6.474
Gas-CC_H_2x1-CCS_mod,2047,1259.5,33.8,3.0,6.474
Gas-CC_H_2x1-CCS_mod,2048,1225.0,32.9,2.96,6.474
Gas-CC_H_2x1-CCS_mod,2049,1190.6,32.1,2.91,6.474
Gas-CC_H_2x1-CCS_mod,2050,1156.2,31.3,2.87,6.474
Gas-CC_H_2x1-CCS_mod,2051,1147.3,31.0,2.86,6.474
Gas-CC_H_2x1-CCS_mod,2052,1138.3,30.8,2.84,6.474
Gas-CC_H_2x1-CCS_mod,2053,1129.4,30.6,2.83,6.474
Gas-CC_H_2x1-CCS_mod,2054,1120.5,30.4,2.82,6.474
Gas-CC_H_2x1-CCS_mod,2055,1111.6,30.1,2.8,6.474
Gas-CC_H_2x1-CCS_mod,2056,1102.7,29.9,2.79,6.474
Gas-CC_H_2x1-CCS_mod,2057,1093.7,29.7,2.78,6.474
Gas-CC_H_2x1-CCS_mod,2058,1084.8,29.5,2.76,6.474
Gas-CC_H_2x1-CCS_mod,2059,1075.9,29.2,2.75,6.474
Gas-CC_H_2x1-CCS_mod,2060,1067.0,29.0,2.74,6.474
