r,rr,branch_count,rated_branch_count,boundary_rate_sum_mw_screening_only,suspect_rating_count,capacity_method
pr127,pr88,1,1,242.70000000000002,0,sum_of_boundary_ratings_not_validated_ITL
pr14,pr16,1,1,20.0,0,sum_of_boundary_ratings_not_validated_ITL
pr14,pr234,2,2,164.2,0,sum_of_boundary_ratings_not_validated_ITL
pr14,pr294,1,1,191.0,0,sum_of_boundary_ratings_not_validated_ITL
pr14,pr5,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr14,pr8,1,1,19.8,0,sum_of_boundary_ratings_not_validated_ITL
pr14,pr97047,1,1,100900.13520659874,1,sum_of_boundary_ratings_not_validated_ITL
pr149,pr275,1,1,145.2,0,sum_of_boundary_ratings_not_validated_ITL
pr149,pr451,2,2,600.0,0,sum_of_boundary_ratings_not_validated_ITL
pr149,pr50,1,1,358.5,0,sum_of_boundary_ratings_not_validated_ITL
pr153,pr196,1,1,547.0,0,sum_of_boundary_ratings_not_validated_ITL
pr153,pr41,2,2,232.6,0,sum_of_boundary_ratings_not_validated_ITL
pr153,pr442,1,1,145.0,0,sum_of_boundary_ratings_not_validated_ITL
pr153,pr452,1,1,239.0,0,sum_of_boundary_ratings_not_validated_ITL
pr16,pr234,2,2,151.0,0,sum_of_boundary_ratings_not_validated_ITL
pr16,pr294,1,1,231.0,0,sum_of_boundary_ratings_not_validated_ITL
pr167,pr40,1,1,231.1,0,sum_of_boundary_ratings_not_validated_ITL
pr169,pr2,2,2,40.4,0,sum_of_boundary_ratings_not_validated_ITL
pr169,pr23,1,1,109.79999999999998,0,sum_of_boundary_ratings_not_validated_ITL
pr169,pr97094,1,1,121000.2566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr175,pr480,1,1,145.2,0,sum_of_boundary_ratings_not_validated_ITL
pr175,pr50,1,1,145.2,0,sum_of_boundary_ratings_not_validated_ITL
pr177,pr38,1,1,73.2,0,sum_of_boundary_ratings_not_validated_ITL
pr177,pr555,1,1,91.5,0,sum_of_boundary_ratings_not_validated_ITL
pr18,pr211,2,2,164.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1800,pr296,1,1,116.10000000000001,0,sum_of_boundary_ratings_not_validated_ITL
pr1800,pr3,1,1,116.10000000000001,0,sum_of_boundary_ratings_not_validated_ITL
pr1800,pr7000,1,1,1210002.566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr1802,pr2,1,1,191.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1802,pr23,1,1,191.0,0,sum_of_boundary_ratings_not_validated_ITL
pr184,pr334,1,1,231.0,0,sum_of_boundary_ratings_not_validated_ITL
pr185,pr5,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr190,pr310,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr190,pr45,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr196,pr440,1,1,369.3,0,sum_of_boundary_ratings_not_validated_ITL
pr196,pr96,1,1,240.0,0,sum_of_boundary_ratings_not_validated_ITL
pr196,pr99,1,1,369.3,0,sum_of_boundary_ratings_not_validated_ITL
pr2,pr3,2,2,279.1,0,sum_of_boundary_ratings_not_validated_ITL
pr2,pr489,1,1,179.3,0,sum_of_boundary_ratings_not_validated_ITL
pr2,pr96,1,1,544.0,0,sum_of_boundary_ratings_not_validated_ITL
pr2001,pr2002,1,1,239.0,0,sum_of_boundary_ratings_not_validated_ITL
pr2001,pr3001,1,1,1210002.566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr204,pr232,1,1,369.3,0,sum_of_boundary_ratings_not_validated_ITL
pr204,pr352,1,1,369.3,0,sum_of_boundary_ratings_not_validated_ITL
pr21,pr234,2,2,67.7,0,sum_of_boundary_ratings_not_validated_ITL
pr21,pr275,1,1,20.4,0,sum_of_boundary_ratings_not_validated_ITL
pr21,pr50,1,1,48.0,0,sum_of_boundary_ratings_not_validated_ITL
pr211,pr82,2,2,164.2,0,sum_of_boundary_ratings_not_validated_ITL
pr213,pr2222,1,1,1210002.566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr213,pr296,1,1,48.0,0,sum_of_boundary_ratings_not_validated_ITL
pr213,pr313,2,2,40.0,0,sum_of_boundary_ratings_not_validated_ITL
pr213,pr353,2,2,165.2,0,sum_of_boundary_ratings_not_validated_ITL
pr2222,pr266,1,1,59.0,0,sum_of_boundary_ratings_not_validated_ITL
pr231,pr29,2,2,164.2,0,sum_of_boundary_ratings_not_validated_ITL
pr231,pr32,2,2,136.2,0,sum_of_boundary_ratings_not_validated_ITL
pr232,pr277,2,2,600.0,0,sum_of_boundary_ratings_not_validated_ITL
pr232,pr96,1,1,240.0,0,sum_of_boundary_ratings_not_validated_ITL
pr233,pr321,1,1,738.5,0,sum_of_boundary_ratings_not_validated_ITL
pr233,pr5,2,2,900.0,0,sum_of_boundary_ratings_not_validated_ITL
pr233,pr956,1,1,369.3,0,sum_of_boundary_ratings_not_validated_ITL
pr234,pr281,1,1,231.0,0,sum_of_boundary_ratings_not_validated_ITL
pr266,pr38,1,1,47.8,0,sum_of_boundary_ratings_not_validated_ITL
pr271,pr45,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr271,pr545,1,1,145.2,0,sum_of_boundary_ratings_not_validated_ITL
pr275,pr353,2,2,164.2,0,sum_of_boundary_ratings_not_validated_ITL
pr275,pr45,1,1,20.0,0,sum_of_boundary_ratings_not_validated_ITL
pr277,pr29,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr277,pr35,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr277,pr428,1,1,239.2,0,sum_of_boundary_ratings_not_validated_ITL
pr280,pr281,1,1,145.2,0,sum_of_boundary_ratings_not_validated_ITL
pr280,pr50,1,1,130.0,0,sum_of_boundary_ratings_not_validated_ITL
pr29,pr35,1,1,19.0,0,sum_of_boundary_ratings_not_validated_ITL
pr29,pr428,1,1,191.0,0,sum_of_boundary_ratings_not_validated_ITL
pr290,pr38,1,1,73.2,0,sum_of_boundary_ratings_not_validated_ITL
pr294,pr5,1,1,231.1,0,sum_of_boundary_ratings_not_validated_ITL
pr296,pr8,2,2,40.0,0,sum_of_boundary_ratings_not_validated_ITL
pr3,pr313,2,2,65.0,0,sum_of_boundary_ratings_not_validated_ITL
pr3,pr363,1,1,450.0,0,sum_of_boundary_ratings_not_validated_ITL
pr3000,pr3001,1,1,1210002.566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr310,pr400,1,1,91.6,0,sum_of_boundary_ratings_not_validated_ITL
pr310,pr93,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr319,pr96,1,1,717.0,0,sum_of_boundary_ratings_not_validated_ITL
pr32,pr35,1,1,48.0,0,sum_of_boundary_ratings_not_validated_ITL
pr334,pr8,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr335,pr38,1,1,20.0,0,sum_of_boundary_ratings_not_validated_ITL
pr335,pr40,3,3,557.6000000000001,0,sum_of_boundary_ratings_not_validated_ITL
pr335,pr97144,1,1,121000.2566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr35,pr902,1,1,91.0,0,sum_of_boundary_ratings_not_validated_ITL
pr352,pr440,1,1,369.3,0,sum_of_boundary_ratings_not_validated_ITL
pr378,pr45,3,3,108.5,0,sum_of_boundary_ratings_not_validated_ITL
pr378,pr492,1,1,231.1,0,sum_of_boundary_ratings_not_validated_ITL
pr378,pr93,2,2,68.0,0,sum_of_boundary_ratings_not_validated_ITL
pr38,pr40,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr38,pr902,1,1,91.0,0,sum_of_boundary_ratings_not_validated_ITL
pr392,pr84,3,3,264.1,0,sum_of_boundary_ratings_not_validated_ITL
pr392,pr86,3,3,343.0,0,sum_of_boundary_ratings_not_validated_ITL
pr392,pr87,4,4,352.79999999999995,0,sum_of_boundary_ratings_not_validated_ITL
pr40,pr441,1,1,350.2,0,sum_of_boundary_ratings_not_validated_ITL
pr400,pr83,1,1,91.5,0,sum_of_boundary_ratings_not_validated_ITL
pr41,pr93,2,2,231.0,0,sum_of_boundary_ratings_not_validated_ITL
pr41,pr97064,1,1,121000.2566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr440,pr441,1,1,350.0,0,sum_of_boundary_ratings_not_validated_ITL
pr45,pr50,2,2,185.0,0,sum_of_boundary_ratings_not_validated_ITL
pr45,pr63,5,5,775.9,0,sum_of_boundary_ratings_not_validated_ITL
pr45,pr87,2,2,80.1,0,sum_of_boundary_ratings_not_validated_ITL
pr45,pr88,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr45,pr99,1,1,544.0,0,sum_of_boundary_ratings_not_validated_ITL
pr451,pr99,1,1,924.0,0,sum_of_boundary_ratings_not_validated_ITL
pr480,pr85,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr492,pr93,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr50,pr545,1,1,145.2,0,sum_of_boundary_ratings_not_validated_ITL
pr50,pr63,1,1,286.5,0,sum_of_boundary_ratings_not_validated_ITL
pr50,pr84,3,3,206.0,0,sum_of_boundary_ratings_not_validated_ITL
pr50,pr85,2,2,40.0,0,sum_of_boundary_ratings_not_validated_ITL
pr50,pr87,2,2,260.0,0,sum_of_boundary_ratings_not_validated_ITL
pr555,pr83,1,1,91.5,0,sum_of_boundary_ratings_not_validated_ITL
pr583,pr84,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr583,pr85,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr63,pr87,1,1,40.1,0,sum_of_boundary_ratings_not_validated_ITL
pr63,pr88,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr632,pr86,6,6,402.2,0,sum_of_boundary_ratings_not_validated_ITL
pr7000,pr7200,1,1,4780.783415006242,0,sum_of_boundary_ratings_not_validated_ITL
pr82,pr85,3,3,308.4,0,sum_of_boundary_ratings_not_validated_ITL
pr84,pr85,2,2,68.0,0,sum_of_boundary_ratings_not_validated_ITL
pr86,pr87,1,1,191.0,0,sum_of_boundary_ratings_not_validated_ITL
pr86,pr88,2,2,369.2,0,sum_of_boundary_ratings_not_validated_ITL
pr87,pr88,2,2,369.2,0,sum_of_boundary_ratings_not_validated_ITL
