r,bus_number,bus_name,base_kv,longitude,latitude,municipality,county_fips,state,country,interconnect,transmission_group
pr281,281,QUEB NEGRITO-281,115.0,-65.9877304348331,18.3220582564782,Trujillo Alto,72139,PR,USA,PR,PR
pr290,290,CAONILLAS 1 -290,115.0,-66.6432524936094,18.2961853441026,Utuado,72141,PR,USA,PR,PR
pr294,294,HUMACAO TAP -294,115.0,-65.826856691,18.137079891,Humacao,72069,PR,USA,PR,PR
pr296,296,S.ISABEL 115-296,115.0,-66.36966581,18.02198247,Santa Isabel,72133,PR,USA,PR,PR
pr310,310,BO PINAS 115-310,115.0,-66.2309197231098,18.3468783690967,Toa Alta,72135,PR,USA,PR,PR
pr313,313,JDIAZ TC    -313,115.0,-66.5513201474167,18.0599121162378,Ponce,72113,PR,USA,PR,PR
pr319,319,ECOELECT 230-319,230.0,-66.7568194626311,17.9785078976431,Peñuelas,72111,PR,USA,PR,PR
pr321,321,AES 230     -321,230.0,-66.149463495378,17.9474467239165,Guayama,72057,PR,USA,PR,PR
pr334,334,MAUNABO TAP -334,115.0,-65.98522103324383,18.009142041506433,Patillas,72109,PR,USA,PR,PR
pr335,335,HATILLO 115 -335,115.0,-66.7866985581113,18.4352984995114,Hatillo,72065,PR,USA,PR,PR
pr343,343,ABBOTT 115  -343,115.0,-66.568886543152,18.43424277838138,Barceloneta,72017,PR,USA,PR,PR
pr352,352,MORA 230    -352,230.0,-67.0363686248201,18.4661126296469,Isabela,72071,PR,USA,PR,PR
pr353,353,BARRANQT 115-353,115.0,-66.319,18.189,Barranquitas,72019,PR,USA,PR,PR
pr363,363,PONCE TC 230-363,230.0,-66.612,18.001,Ponce,72113,PR,USA,PR,PR
pr378,378,HATO TEJASTC-378,115.0,-66.1952581711991,18.4168046806253,Bayamón,72021,PR,USA,PR,PR
pr392,392,M PENA GIS  -392,115.0,-66.0602809398757,18.4341115095258,San Juan,72127,PR,USA,PR,PR
pr400,400,MONTEREY    -400,115.0,-66.3052449457631,18.3383961252783,Corozal,72047,PR,USA,PR,PR
pr428,428,ALTURAS MAY -428,115.0,-67.1513062922523,18.2327569503965,Mayagüez,72097,PR,USA,PR,PR
pr440,440,CAMB GP 230 -440,230.0,-66.6968634056452,18.4690563228198,Arecibo,72013,PR,USA,PR,PR
pr441,441,CAMB GP 115 -441,115.0,-66.697,18.469,Arecibo,72013,PR,USA,PR,PR
pr442,442,DUPONT      -442,115.0,-66.468957719599,18.4569403497865,Manatí,72091,PR,USA,PR,PR
pr451,451,AGUBUENAS230-451,230.0,-66.106,18.247,Aguas Buenas,72007,PR,USA,PR,PR
pr452,452,ROCHE       -452,115.0,-66.4666915134419,18.4259465841657,Manatí,72091,PR,USA,PR,PR
pr480,480,ENCANTADA   -480,115.0,-65.9909356210132,18.3436516739002,Trujillo Alto,72139,PR,USA,PR,PR
pr489,489,UNIONCARBIDE-489,115.0,-66.7424579382298,17.9986583457755,Peñuelas,72111,PR,USA,PR,PR
pr492,492,CANDE ARENAS-492,115.0,-66.2261741709764,18.4133390538859,Toa Baja,72137,PR,USA,PR,PR
pr545,545,GRANA       -545,115.0,-66.1120134707712,18.3697102278284,Guaynabo,72061,PR,USA,PR,PR
pr555,555,MOROVIS     -555,115.0,-66.4067897909724,18.322755837772,Morovis,72101,PR,USA,PR,PR
pr583,583,ESCORIAL    -583,115.0,-65.9924687286346,18.396697621194,Carolina,72031,PR,USA,PR,PR
pr632,632,ISLA GDE 115-632,115.0,-66.091184784167,18.4509507741195,San Juan,72127,PR,USA,PR,PR
pr902,902,RADARARECIBO-902,115.0,-66.7203883384155,18.3343350948124,Arecibo,72013,PR,USA,PR,PR
pr956,956,CACAO 230   -956,230.0,-65.939,18.323,Carolina,72031,PR,USA,PR,PR
pr1025,1025,J MARTIN SEC-1025,115.0,-65.8507550014057,18.0427565348008,Yabucoa,72151,PR,USA,PR,PR
pr1027,1027,SUB SAN JOSE-1027,115.0,-66.0730135701285,18.2496757307187,Caguas,72025,PR,USA,PR,PR
pr1040,1040,BUEN PASTOR -1040,115.0,-66.0854506575756,18.3134012834972,Guaynabo,72061,PR,USA,PR,PR
pr1077,1077,PON BYPASS  -1077,230.0,-66.612,18.001,Ponce,72113,PR,USA,PR,PR
pr1078,1078,CERRI JDIAZT-1078,115.0,-66.551303603,18.059844738,Ponce,72113,PR,USA,PR,PR
pr1079,1079,CERRI TNEGRO-1079,115.0,-66.52099494993725,18.099408485110843,Villalba,72149,PR,USA,PR,PR
pr1102,1102,REACT HR-MPE-1102,115.0,-66.06018464,18.43426401,San Juan,72127,PR,USA,PR,PR
pr1103,1103,REACT PS-SJ -1103,115.0,-66.10472682,18.42707984,San Juan,72127,PR,USA,PR,PR
pr1104,1104,REACT BTC-PS-1104,115.0,-66.14055768,18.39871644,Bayamón,72021,PR,USA,PR,PR
pr1105,1105,REAC BTC-MTC-1105,115.0,-66.07301099,18.37275885,San Juan,72127,PR,USA,PR,PR
pr1110,1110,DBOCAS FASE1-1110,230.0,-66.666,18.336,Arecibo,72013,PR,USA,PR,PR
pr1206,1206,AMGEN_115   -1206,115.0,-65.91415150823626,18.227648362655366,Juncos,72077,PR,USA,PR,PR
pr1800,1800,PATTERN     -1800,115.0,-66.3977701460828,17.9852463879162,Santa Isabel,72133,PR,USA,PR,PR
pr1802,1802,WINDMAR     -1802,115.0,-66.5809135960564,18.0569044867011,Ponce,72113,PR,USA,PR,PR
pr2001,2001,PCC         -2001,115.0,-65.68592141463986,18.205363378738333,Naguabo,72103,PR,USA,PR,PR
pr2002,2002,SSHV        -2002,115.0,-65.69444172961099,18.183381773957397,Naguabo,72103,PR,USA,PR,PR
pr2222,2222,TEMP        -2222,115.0,-66.54354874448703,18.167836205920874,Jayuya,72073,PR,USA,PR,PR
pr3000,3000,INF_HV      -3000,115.0,-65.667,18.232,Ceiba,72037,PR,USA,PR,PR
pr3001,3001,INF_GEN     -3001,115.0,-65.68092182321564,18.216915308240452,Naguabo,72103,PR,USA,PR,PR
pr7000,7000,POI         -7000,115.0,-66.38891660083625,17.992270967071715,Santa Isabel,72133,PR,USA,PR,PR
pr7200,7200,SIT1HV      -7200,115.0,-66.38746824333495,17.99769258377053,Santa Isabel,72133,PR,USA,PR,PR
pr97014,97014,CIRO        -97014,115.0,-66.23855932079218,17.961615397833075,Salinas,72123,PR,USA,PR,PR
pr97021,97021,YAROTEK_HV  -97021,115.0,-67.0661111111111,18.4544444438763,Moca,72099,PR,USA,PR,PR
pr97047,97047,COMETA_HV   -97047,115.0,-65.84480859072228,18.136654288299766,Humacao,72069,PR,USA,PR,PR
pr97064,97064,VEGASERENA  -97064,115.0,-66.40141277730525,18.446222196096137,Vega Baja,72145,PR,USA,PR,PR
pr97094,97094,SOLANER     -97094,115.0,-67.00882538520675,18.075263886328127,San Germán,72125,PR,USA,PR,PR
pr97134,97134,YABUCOA     -97134,115.0,-65.8243654,18.1060857,Humacao,72069,PR,USA,PR,PR
pr97144,97144,HATILLO     -97144,115.0,-66.78669368,18.43525792,Hatillo,72065,PR,USA,PR,PR
